batch,interactions,recall_existing,precision_existing,ndcg_existing,hr_existing,mrr_existing,recall_new_content,precision_new_content,ndcg_new_content,hr_new_content,mrr_new_content,recall_overall_content,precision_overall_content,ndcg_overall_content,hr_overall_content,mrr_overall_content,n_new_users,pct_new_users,n_users_trained,content_seed_emissions_mg
1,1000,0.03134302775133304,0.02149532710280374,0.03157621458754149,0.1588785046728972,0.0646417445482866,0.0,0.0,0.0,0.0,0.0,0.02220996006220288,0.015231788079470197,0.02237519841633735,0.11258278145695365,0.045805739514348784,44,0.2913907284768212,59868,29.581345156759756
2,2000,0.024530075971373796,0.014166666666666668,0.026841565359537446,0.14166666666666666,0.07045965608465607,0.0065359477124183,0.00196078431372549,0.0030671812158350096,0.0196078431372549,0.0028011204481792717,0.01916340613975549,0.010526315789473686,0.019750959562292857,0.10526315789473684,0.050280794579040194,50,0.29239766081871343,59868,31.0983609502416
3,3000,0.04289256413316564,0.023308270676691726,0.039016627963729636,0.18045112781954886,0.0716374269005848,0.011737089201877934,0.0028169014084507044,0.006894483303987831,0.028169014084507043,0.008802816901408451,0.03204923707374687,0.016176470588235292,0.02783686193019205,0.12745098039215685,0.04976851851851851,71,0.3480392156862745,59868,33.719141441351844
4,4000,0.036068361333943304,0.02288135593220339,0.02995963957007984,0.19491525423728814,0.05317460317460317,0.03252032520325203,0.007317073170731709,0.01627220621868786,0.07317073170731707,0.01524390243902439,0.035153458935463164,0.01886792452830189,0.026430175624123413,0.16352201257861634,0.04339373065788161,41,0.2578616352201258,59868,29.33244496140474
5,5000,0.03687917353029739,0.019512195121951223,0.03260111144423458,0.18699186991869918,0.06525680732997806,0.005747126436781609,0.001724137931034483,0.008091012517633733,0.017241379310344827,0.017241379310344827,0.026903158439557526,0.013812154696132596,0.024747046594826575,0.13259668508287292,0.04987064807506797,58,0.32044198895027626,59868,32.4668173959603
6,6000,0.030188482441585514,0.01834862385321101,0.030495197853964335,0.1651376146788991,0.06785714285714285,0.03205128205128205,0.007692307692307693,0.02340269563179557,0.07692307692307693,0.03434065934065934,0.030790132004965765,0.014906832298136647,0.028204451794630322,0.13664596273291926,0.057031943212067435,52,0.32298136645962733,59868,31.13801935447122
7,7000,0.029866752401789227,0.018260869565217393,0.025262305094163204,0.1565217391304348,0.042363699102829534,0.00980392156862745,0.00196078431372549,0.0042824987611404745,0.0196078431372549,0.00326797385620915,0.023702870639793747,0.013253012048192769,0.018816701943656217,0.1144578313253012,0.03035236182826544,51,0.3072289156626506,59868,30.75760960948706
8,8000,0.02631900526637369,0.020720720720720724,0.02291203263328408,0.1891891891891892,0.04601387101387101,0.026515151515151512,0.00681818181818182,0.023861225051758736,0.06818181818181818,0.03598484848484848,0.026374685491833198,0.016774193548387096,0.02318148080368979,0.15483870967741936,0.04316692268305172,44,0.2838709677419355,59868,30.166699145998706
9,9000,0.03147865982295807,0.016666666666666666,0.030364180268925924,0.15079365079365079,0.061309523809523814,0.023474178403755867,0.007042253521126761,0.021503064485231146,0.07042253521126761,0.0386317907444668,0.02859379596121514,0.013197969543147208,0.027170580164142526,0.1218274111675127,0.05313633067440173,71,0.3604060913705584,59868,33.733301476933484
10,10000,0.04367794431101283,0.026415094339622643,0.04115786640212327,0.2169811320754717,0.080641659179395,0.024509803921568624,0.0058823529411764705,0.0148090246335896,0.058823529411764705,0.01764705882352941,0.03618694691743694,0.01839080459770115,0.03086061789488023,0.15517241379310345,0.05602307972997628,68,0.39080459770114945,59868,33.29369539023843
11,11000,0.031191684607382284,0.02307692307692308,0.029578823064700957,0.20192307692307693,0.06521672771672772,0.008771929824561403,0.002631578947368421,0.0038958146179719107,0.02631578947368421,0.003289473684210526,0.025192031919021765,0.017605633802816902,0.02270590531135093,0.15492957746478872,0.048644645651687905,38,0.2676056338028169,59868,32.60450181022132
12,12000,0.03269442165436001,0.019090909090909092,0.03104119145331965,0.16363636363636364,0.05704184704184703,0.02564102564102564,0.005128205128205128,0.021321913579067247,0.05128205128205128,0.029914529914529916,0.030848230751540955,0.015436241610738253,0.028497219392273718,0.1342281879194631,0.049941408330670074,39,0.26174496644295303,59868,29.167249359567133
13,13000,0.019924843674843675,0.014166666666666666,0.017122429317983096,0.11666666666666667,0.03271825396825397,0.0319634703196347,0.00821917808219178,0.016031819772309934,0.0821917808219178,0.015449010654490107,0.0244783138565522,0.011917098445595856,0.016709918971692213,0.10362694300518134,0.026186364010198207,73,0.37823834196891193,59868,33.85378824135186
14,14000,0.04273621476562653,0.022400000000000003,0.031171018861435473,0.208,0.05678730158730159,0.028571428571428567,0.008571428571428572,0.026382805225650185,0.08571428571428572,0.048072562358276644,0.03765141972155547,0.01743589743589744,0.029452172940897168,0.1641025641025641,0.05365893365893365,70,0.358974358974359,59868,33.356316285161824
15,15000,0.02226115368867976,0.01565217391304348,0.024780574901577732,0.12173913043478261,0.0513768115942029,0.025157232704402514,0.007547169811320755,0.013965307777817815,0.07547169811320754,0.016561844863731655,0.02317479766387801,0.013095238095238096,0.021368615630391566,0.10714285714285714,0.040393518518518516,53,0.31547619047619047,59868,31.23588797689882
