section,no_update,incremental,full_retrain
training_emissions_mg,125522.72833458475,125522.72833458475,125522.72833458475
id_mapping_emissions_mg,44.59556493977853,45.4233696033862,
checkpoint_load_emissions_mg,56.22020687338889,55.86731371167384,
build_user_history_emissions_mg,19.579174975707613,19.507050045786052,
embedding_snapshot_emissions_mg,,,
content_build_emissions_mg,,,
id_resolution_emissions_mg,1980.1809685563649,1981.390198030258,
recovered_history_seed_emissions_mg,,,
expand_embeddings_emissions_mg,5077.081944535441,5397.484417630664,
gt_split_emissions_mg,,,
scoring_emissions_mg,2247.9582858678677,2309.4145508571837,
update_prep_emissions_mg,1970.0208586332863,1970.593498225701,
history_update_emissions_mg,1970.64870941126,1970.7717449052784,
apply_content_seeds_emissions_mg,,,
batch_total_emissions_mg,13245.89076700422,13629.654409649083,
update_total_emissions_mg,0.0,2208.56193726735,1459093.2759382273
n_updates,0.0,8.0,8.0
avg_emissions_per_update_mg,0.0,276.07024215841875,182386.6594922784
streaming_emissions_mg,13366.285713793091,15959.014080277282,
grand_total_mg,138889.01404837784,141481.74241486203,
