section,no_update,incremental,content_coldstart,content_incremental
training_emissions_mg,1800197.1478978004,1800197.1478978004,1800197.1478978004,1800197.1478978004
id_mapping_emissions_mg,127.44029007132224,135.49659287389508,128.5299579821183,135.35126272730972
checkpoint_load_emissions_mg,122.570590248647,122.56831899621255,123.03644817281078,122.2201815550449
build_user_history_emissions_mg,45.4206227946403,44.38061638979782,47.01726232767163,48.65289971384926
embedding_snapshot_emissions_mg,,,15.838741837435238,15.830834548346596
content_build_emissions_mg,,,602.8783725360776,584.2406692310681
id_resolution_emissions_mg,6320.315036710421,6326.427623770382,6323.320675082883,6328.173556391517
recovered_history_seed_emissions_mg,,,11007.278405221097,11545.342080662715
expand_embeddings_emissions_mg,64701.022025290105,74935.3192187447,68542.89527512525,83571.09361509497
gt_split_emissions_mg,,,6286.303014104582,6286.718860077626
scoring_emissions_mg,9139.187316920852,9507.013228881013,6748.815948734574,6743.726362907014
update_prep_emissions_mg,6283.089141411393,6284.551226260357,,
history_update_emissions_mg,6285.294901967349,6285.661243590019,6287.321682733864,6287.925483505851
apply_content_seeds_emissions_mg,,,6310.872476743283,6307.735168668084
batch_total_emissions_mg,92728.90842230013,103338.97254124648,111506.80747774552,127070.71512730776
update_total_emissions_mg,0.0,15349.633035496736,0.0,16979.85668423209
n_updates,0.0,26.0,0.0,26.0
avg_emissions_per_update_mg,0.0,590.3705013652591,0.0,653.0714109320035
streaming_emissions_mg,93024.33992541474,118991.05110500312,112424.10826060166,144956.8676593155
grand_total_mg,1893221.487823215,1919188.1990028035,1912621.2561584022,1945154.015557116
