batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,id_resolution_emissions_mg,expand_embeddings_emissions_mg,scoring_emissions_mg,update_prep_emissions_mg,history_update_emissions_mg,batch_emissions_mg,update_emissions_mg,updated
1,1000,full_retrain,0.13978494185084267,0.10500000000000001,0.18723621080641467,0.5,0.14997376188723863,0.10500000000000001,0.1894779821830076,0.5,0.31333333333333335,11.888909566901987,11.65645243234571,13.405197656399249,11.668340642418078,11.660202751289019,60.27910304935404,0.0,False
2,2000,full_retrain,0.1366602184893891,0.1857142857142857,0.27654036056517733,0.5714285714285714,0.1546160615408954,0.125,0.23447771963444466,0.5714285714285714,0.4507936507936508,11.89134779975182,11.656925911812309,13.209898397629782,11.654837720285496,11.661074160230362,60.07408398970977,0.0,False
3,3000,full_retrain,0.018567035468443918,0.07272727272727274,0.0751123128617754,0.2727272727272727,0.05810666950693155,0.09545454545454546,0.09740445533237164,0.5454545454545454,0.15346320346320347,11.86005592343606,11.657591027686793,13.253470723677339,11.660664782950944,11.658695890636514,60.090478348387656,0.0,False
4,4000,full_retrain,0.05662542794895736,0.07058823529411765,0.08314518223858318,0.29411764705882354,0.13022292250233425,0.06470588235294118,0.09622267192662043,0.35294117647058826,0.14766214177978884,11.87050413844229,11.656887835247133,13.23312639513771,11.659449029248698,11.660080097365299,60.080047495441136,0.0,False
5,5000,full_retrain,0.019605371222419333,0.05161290322580645,0.0638102565586819,0.2903225806451613,0.09838412301963284,0.056451612903225805,0.08446778141664515,0.3548387096774194,0.14552272521911994,11.867803086984324,11.65730038590212,13.24974437724014,11.659782308586907,11.658716625985173,60.09334678469866,0.0,False
6,6000,full_retrain,0.06273983952555381,0.03333333333333334,0.041267025433182246,0.19047619047619047,0.11376024768881912,0.021428571428571425,0.05060146599425193,0.23809523809523808,0.05535714285714285,11.881881769853088,11.656753465457207,13.385227736399,11.656143928989792,11.655328470011128,60.23533537071022,0.0,False
7,7000,full_retrain,0.03155818540433925,0.015384615384615385,0.023540222987673602,0.15384615384615385,0.06070467494080093,0.02307692307692308,0.039282026892322956,0.3076923076923077,0.06093514328808446,11.868061325148087,11.656631718212218,13.19089086963311,11.660135771382343,11.66017790040733,60.035897584783086,0.0,False
8,8000,full_retrain,0.11887861100118718,0.06315789473684212,0.12226855607212063,0.47368421052631576,0.13851239941960164,0.05526315789473685,0.13333587862026997,0.631578947368421,0.16779638490164805,11.872999491798689,11.658631839696342,13.246105950528694,11.660311245256056,11.65991687942299,60.09796540670277,0.0,False
9,9000,full_retrain,0.03871483792338732,0.1,0.0919601328824056,0.42857142857142855,0.055740241604742044,0.08214285714285716,0.09259024302983118,0.5714285714285714,0.14334157905586475,11.892147411562775,11.655648823264059,13.245602123101433,11.660935935084677,11.6592822318964,60.11361652490935,0.0,False
10,10000,full_retrain,0.026693665278210557,0.061290322580645165,0.07154162763707543,0.25806451612903225,0.08187101406322973,0.05645161290322581,0.07532957084864446,0.3548387096774194,0.1397061719642365,11.885568097253483,11.656132280138962,13.258863957706849,11.666521076150781,11.658828892524173,60.12591430377425,0.0,False
11,11000,full_retrain,0.07002535700117979,0.15000000000000002,0.19478426669144489,0.5625,0.09118329252637625,0.11875000000000002,0.17463937610711988,0.625,0.3728174603174603,11.886339109263254,11.656498318174348,13.228329668005571,11.661231394092956,11.66056180789809,60.092960297434225,0.0,False
12,12000,full_retrain,0.07435672514619884,0.08421052631578947,0.09376148802641289,0.5789473684210527,0.14328160143949617,0.06578947368421054,0.10902132466078628,0.6842105263157895,0.1993175898748654,11.884674375869258,11.656241109182938,13.235071910605948,11.660287758334556,11.658411398498929,60.09468655249162,0.0,False
13,13000,full_retrain,0.042807641044496456,0.08461538461538462,0.09121259186693974,0.38461538461538464,0.06992587165109916,0.057692307692307696,0.07931180052596348,0.38461538461538464,0.16666666666666666,11.880012273447479,11.656097416370189,13.29471001604212,11.661998818808527,11.654701273018544,60.14751979768686,0.0,False
14,14000,full_retrain,0.027083333333333334,0.041666666666666664,0.04876750903188495,0.25,0.05796957671957672,0.0375,0.055601430017787584,0.3333333333333333,0.10998168498168498,11.875242303588168,11.656477570999428,13.247860244144341,11.659303266843189,11.657092318898606,60.09597570447373,0.0,False
15,15000,full_retrain,0.013157894736842105,0.025,0.01590519704973793,0.25,0.013157894736842105,0.0125,0.010607730731541844,0.25,0.025,11.864443897419575,11.655384494873395,13.202734881434921,11.659499673169613,11.659105019564677,60.04116796646218,0.0,False
