batch,interactions,strategy,recall_at_10,ndcg_at_10,hr_at_10,recall_at_20,ndcg_at_20,hr_at_20,mrr,update_energy_uwh,updated
1,1000,no_update,0.05513505485945336,0.12031361844656975,0.5555555555555556,0.08380334089102677,0.12325311609945944,0.6666666666666666,0.23925977798526818,0.0,False
2,2000,no_update,0.0773859319774522,0.1073293465085967,0.5,0.11883097388222208,0.12232321823206448,0.6666666666666666,0.24924722414218212,0.0,False
3,3000,no_update,0.04665526984228189,0.13746286707128416,0.48484848484848486,0.06807987395938575,0.12213992265154613,0.6060606060606061,0.24757290639643578,0.0,False
4,4000,no_update,0.07163121994360878,0.1498620344832649,0.5135135135135135,0.11684072035815535,0.14925353835438243,0.7027027027027027,0.28257249228611453,0.0,False
5,5000,no_update,0.06402803196482891,0.21328231721680255,0.6538461538461539,0.10238411606690495,0.19822096135534514,0.8461538461538461,0.4136427674889213,0.0,False
6,6000,no_update,0.0752500052351872,0.126034761417777,0.5405405405405406,0.1331313440162844,0.14119841692640994,0.7567567567567568,0.25905025905025897,0.0,False
7,7000,no_update,0.04612688159297531,0.11740022599287678,0.5625,0.07816544883384055,0.11033601956977439,0.625,0.22435628607503605,0.0,False
8,8000,no_update,0.05955892041606778,0.10741684599784032,0.5,0.0868946063748456,0.10526269784789206,0.6470588235294118,0.21404619202606817,0.0,False
9,9000,no_update,0.07721377953601685,0.11071669234068533,0.5555555555555556,0.16332937120414473,0.1454870975454103,0.75,0.2487845601203444,0.0,False
10,10000,no_update,0.08734967377276638,0.14597740273653376,0.6071428571428571,0.11082787124005086,0.14190827680803259,0.6785714285714286,0.29342185592185593,0.0,False
11,11000,no_update,0.057335490684827864,0.12439922038408735,0.5625,0.10528497727372985,0.12659476921252397,0.6875,0.25769898504273503,0.0,False
12,12000,no_update,0.06878409569961445,0.09502687940412374,0.6052631578947368,0.11663660737468151,0.11630174409556468,0.6842105263157895,0.20027151211361738,0.0,False
13,13000,no_update,0.035850757810661424,0.06835493275897121,0.40540540540540543,0.06689845776636855,0.07755659172192222,0.5675675675675675,0.1440913926208044,0.0,False
14,14000,no_update,0.08143117540202958,0.12350534542479875,0.5555555555555556,0.14045549148176056,0.13967746103960224,0.7111111111111111,0.2457075422761697,0.0,False
15,15000,no_update,0.06050463347211196,0.10363384673470373,0.5,0.10971139652354649,0.12168934216952804,0.7,0.262711345671872,0.0,False
16,16000,no_update,0.047933875906564984,0.10316444569749887,0.5142857142857142,0.11074711157030928,0.12294036261304161,0.6857142857142857,0.24473459080601936,0.0,False
17,17000,no_update,0.05888876849356321,0.1198964282371073,0.625,0.1168106569331886,0.13880824854858503,0.75,0.28140094688807926,0.0,False
18,18000,no_update,0.06726466010401684,0.09466527451777532,0.4716981132075472,0.11252338103584492,0.10779481807825436,0.5849056603773585,0.20710869319359884,0.0,False
19,19000,no_update,0.06057209545970867,0.09080663861052343,0.4418604651162791,0.11024234548728348,0.1118694136258799,0.6046511627906976,0.19877040983672134,0.0,False
20,20000,no_update,0.05317171926573412,0.12496058278363624,0.56,0.09246649835906919,0.13170464329244563,0.72,0.2103203463203463,0.0,False
21,21000,no_update,0.043385323028980585,0.0710852441463663,0.3333333333333333,0.0715545266298852,0.07736019185179249,0.4166666666666667,0.15727443852443854,0.0,False
22,22000,no_update,0.08521484334023852,0.10536209525373565,0.5882352941176471,0.12452197751965013,0.12057846858622598,0.6764705882352942,0.18179377811730754,0.0,False
23,23000,no_update,0.02302772853736259,0.0871717308710071,0.45454545454545453,0.0919883970777676,0.10905000410575688,0.7727272727272727,0.22368836971109696,0.0,False
24,24000,no_update,0.06073606924039581,0.14196783505963445,0.4444444444444444,0.08486848799607888,0.13652998754397186,0.6296296296296297,0.2911378381966617,0.0,False
25,25000,no_update,0.06057511168064192,0.11326776224693572,0.40625,0.08167872829633964,0.11451588674858568,0.5,0.18116611227824464,0.0,False
26,26000,no_update,0.049160639213189375,0.11402777351119008,0.4444444444444444,0.10745482313785724,0.13517519703048078,0.6666666666666666,0.22326839826839823,0.0,False
27,27000,no_update,0.06934071334592552,0.11426346355570927,0.40476190476190477,0.0994991903106859,0.12130983548945531,0.5714285714285714,0.21577562648991222,0.0,False
28,28000,no_update,0.07759772858030604,0.11322228207286497,0.46153846153846156,0.1299160738673655,0.12988488391336797,0.6410256410256411,0.2278687124840971,0.0,False
29,29000,no_update,0.06526189370358328,0.1047623376797057,0.47619047619047616,0.12304055915589263,0.12444932801575839,0.7619047619047619,0.24913468249934412,0.0,False
30,30000,no_update,0.03178277362243563,0.07042737685004984,0.4,0.085797597522439,0.09134666042900598,0.68,0.14060073260073258,0.0,False
31,31000,no_update,0.07901215363491602,0.1848659148704886,0.5806451612903226,0.1391382521012497,0.185614179157165,0.7419354838709677,0.34059512455098195,0.0,False
32,32000,no_update,0.043163428693662534,0.09603245291195059,0.39285714285714285,0.08083148408998957,0.11004301167448793,0.6071428571428571,0.21209735489091971,0.0,False
33,33000,no_update,0.06262264107125859,0.12007275624709257,0.5714285714285714,0.11247429967562098,0.13107336550228657,0.7142857142857143,0.2384807256235828,0.0,False
34,34000,no_update,0.05451506124795756,0.1142145732605793,0.5,0.1215081864981112,0.13987468799843147,0.6944444444444444,0.2350413962256067,0.0,False
35,35000,no_update,0.05660028772743939,0.1910221617604461,0.6956521739130435,0.08875056209593792,0.16024291258310217,0.782608695652174,0.36237373737373735,0.0,False
36,36000,no_update,0.05492140643721614,0.11974482239308391,0.5405405405405406,0.10098504415215263,0.12750341561649733,0.6756756756756757,0.25610340463281644,0.0,False
37,37000,no_update,0.05085933530879377,0.09874692395930845,0.48484848484848486,0.11286511859145934,0.1235771319125192,0.696969696969697,0.21450435086798725,0.0,False
38,38000,no_update,0.06675916763375817,0.11613892211892905,0.696969696969697,0.09747143201110699,0.11853287368937683,0.7272727272727273,0.2018278018278018,0.0,False
39,39000,no_update,0.05529447522270259,0.08983713883994325,0.36363636363636365,0.10366048422069483,0.10299621498801136,0.6136363636363636,0.20188959695978415,0.0,False
40,40000,no_update,0.059795436112719404,0.0932028761358593,0.4482758620689655,0.09445412331645214,0.10205356095112507,0.5862068965517241,0.14040901627108524,0.0,False
41,41000,no_update,0.0662674815685625,0.10841356655554564,0.4772727272727273,0.11938629919008288,0.11903907677879486,0.7045454545454546,0.20920150853305933,0.0,False
42,42000,no_update,0.05252004973658118,0.14184477616582128,0.41935483870967744,0.09043894817248373,0.1351173869872777,0.6129032258064516,0.2942686029972558,0.0,False
43,43000,no_update,0.06261664666273682,0.11327667382345984,0.5111111111111111,0.12454032916030258,0.12721611505721853,0.6888888888888889,0.23316846504411004,0.0,False
44,44000,no_update,0.05689162215347463,0.1006480215928206,0.46,0.09753336848101687,0.10851965888323513,0.62,0.24258866950043423,0.0,False
45,45000,no_update,0.0601573926937009,0.07385752666028916,0.4807692307692308,0.09985397251919922,0.08814216857132741,0.5961538461538461,0.16127563477378906,0.0,False
46,46000,no_update,0.05646164146453538,0.10342095574244733,0.5106382978723404,0.11120232470837202,0.11322577337459167,0.6595744680851063,0.22702134119530865,0.0,False
47,47000,no_update,0.08121157649803025,0.10366824915843943,0.5116279069767442,0.11851419826010405,0.11739640007365822,0.6511627906976745,0.22483388704318938,0.0,False
48,48000,no_update,0.05373648103938712,0.10969515604291785,0.4117647058823529,0.09267407169635312,0.11192162891235419,0.5490196078431373,0.24930361033302206,0.0,False
49,49000,no_update,0.09312698010464207,0.12379747418048322,0.6222222222222222,0.15525419953863737,0.1466348303189554,0.7777777777777778,0.2841907874260815,0.0,False
50,50000,no_update,0.052236140004897,0.11834938006012757,0.5319148936170213,0.11732595694772782,0.1271189607055929,0.6595744680851063,0.28562870344785235,0.0,False
51,51000,no_update,0.06378580030640643,0.12249132326588005,0.6,0.09818239886581169,0.11774026919396587,0.6888888888888889,0.2656008075744918,0.0,False
52,52000,no_update,0.08502722963862151,0.15555757580896776,0.5,0.13472374777400084,0.16423668689714918,0.5681818181818182,0.27269063007699373,0.0,False
53,53000,no_update,0.05931593564726914,0.13114561485577533,0.47619047619047616,0.08791596020051697,0.11520439618621044,0.6428571428571429,0.2650273998488284,0.0,False
54,54000,no_update,0.08336956464584039,0.10256684189726867,0.5185185185185185,0.137861923805648,0.12871067022562802,0.7962962962962963,0.2022728043561377,0.0,False
55,55000,no_update,0.0546829160925196,0.12321740086731303,0.48484848484848486,0.09054590556625584,0.13123337001169164,0.6363636363636364,0.26141774891774894,0.0,False
56,56000,no_update,0.056069659562942256,0.15284870991946914,0.6052631578947368,0.1031262164497297,0.14854716876156132,0.8157894736842105,0.36536522687838474,0.0,False
57,57000,no_update,0.08695951900939061,0.189020830338603,0.6222222222222222,0.14335416231165837,0.18037081381681483,0.7111111111111111,0.3769827703161036,0.0,False
58,58000,no_update,0.05699184903169666,0.11402513675222954,0.5405405405405406,0.11337157877573903,0.12688274672985422,0.6486486486486487,0.22584825084825078,0.0,False
59,59000,no_update,0.06148525432085587,0.14134800331256697,0.5666666666666667,0.09444919296395636,0.13243136559083596,0.6666666666666666,0.273503256003256,0.0,False
60,60000,no_update,0.08484555141147954,0.154887412027639,0.71875,0.11969192154443355,0.14877832285924047,0.75,0.29573412698412693,0.0,False
61,61000,no_update,0.07756246373586131,0.13380470889167873,0.5434782608695652,0.12514776414395942,0.1404727033409961,0.717391304347826,0.27227265488135055,0.0,False
62,62000,no_update,0.04019588346484736,0.09187394276238302,0.48717948717948717,0.10653900194959047,0.11115918712871459,0.717948717948718,0.2400306246460093,0.0,False
63,63000,no_update,0.04298826281660201,0.18551773473274877,0.52,0.08116192379541416,0.17089429226279285,0.64,0.33062034044386984,0.0,False
64,64000,no_update,0.04511081287957556,0.07302175778194837,0.48717948717948717,0.11440156689389536,0.10552085039309113,0.7692307692307693,0.16322808245885168,0.0,False
65,65000,no_update,0.07420596485317364,0.132675594506997,0.5428571428571428,0.14009540326063652,0.1523001703483827,0.8,0.29995612279999717,0.0,False
66,66000,no_update,0.09152549765968863,0.15576645876448025,0.6136363636363636,0.1485348315936438,0.16694510416753247,0.7045454545454546,0.29253189991826356,0.0,False
67,67000,no_update,0.08426312086951557,0.14099119791099637,0.5106382978723404,0.13103859643826507,0.140017953118558,0.6808510638297872,0.22799039022443277,0.0,False
68,68000,no_update,0.032236509144031755,0.07511229873511853,0.4,0.07571081351688985,0.08163182596915239,0.7142857142857143,0.1909753942062655,0.0,False
69,69000,no_update,0.052488563633628395,0.09877662713006931,0.475,0.12205708365781776,0.11635531145298472,0.725,0.2100850063679011,0.0,False
70,70000,no_update,0.07277424653455043,0.11783386883492053,0.6,0.12132849226241582,0.1304845715309004,0.7714285714285715,0.2120563137535716,0.0,False
71,71000,no_update,0.0625539814416501,0.1160597700660404,0.5757575757575758,0.11817291385169704,0.13576361714877794,0.696969696969697,0.2603677467313831,0.0,False
72,72000,no_update,0.05039687253008222,0.10397565665410906,0.6071428571428571,0.08184865417542134,0.11126289914301153,0.7142857142857143,0.2647919853746921,0.0,False
73,73000,no_update,0.07595461468031756,0.10197381002516545,0.5555555555555556,0.1399742317468998,0.11949842648244179,0.7111111111111111,0.21053411500779923,0.0,False
74,74000,no_update,0.054869457961788895,0.15557737657707527,0.4838709677419355,0.09974563635154944,0.14526407058577095,0.6774193548387096,0.27026812792941823,0.0,False
75,75000,no_update,0.0736319440757067,0.13777235408265484,0.5757575757575758,0.1636188970559424,0.1627151672077645,0.8181818181818182,0.2278637855509513,0.0,False
76,76000,no_update,0.06598715112633406,0.13511319537674613,0.5476190476190477,0.11834116774281796,0.13908092429772098,0.6428571428571429,0.31170162509448224,0.0,False
77,77000,no_update,0.06294775566444379,0.1738622751130348,0.6333333333333333,0.0955133770684031,0.1531398663687224,0.7,0.3100132275132275,0.0,False
78,78000,no_update,0.047492546877053184,0.11980276831617671,0.5806451612903226,0.1075220056379762,0.13750553051338013,0.8064516129032258,0.25136876090386523,0.0,False
79,79000,no_update,0.06409393492774851,0.11762146198629295,0.5172413793103449,0.11693323764151645,0.13025972500013253,0.6896551724137931,0.29097827459896425,0.0,False
80,80000,no_update,0.04145346112282466,0.14416005248377362,0.5,0.06269343156602714,0.1314959231137553,0.5357142857142857,0.33707482993197274,0.0,False
81,81000,no_update,0.0703458165149275,0.1378002077593743,0.6578947368421053,0.1325995369455862,0.15387423516200155,0.7894736842105263,0.24095940609098498,0.0,False
82,82000,no_update,0.047257537706390886,0.12233996224578363,0.6,0.07825525492878825,0.11965392042173796,0.7,0.3181728422363097,0.0,False
83,83000,no_update,0.07159509005515277,0.09457751076368985,0.4444444444444444,0.09873062399061898,0.09782945103489403,0.6111111111111112,0.16831771623438288,0.0,False
84,84000,no_update,0.07705273340841395,0.19601257965690355,0.6363636363636364,0.12482220957199654,0.18574217042287153,0.8181818181818182,0.3187377981495628,0.0,False
85,85000,no_update,0.0513540052455836,0.16099026484416032,0.4666666666666667,0.08573984663483245,0.15291724243714958,0.6333333333333333,0.32230249526302157,0.0,False
86,86000,no_update,0.043967474086360814,0.11944503476778037,0.48484848484848486,0.10057200214651034,0.12729214262599603,0.696969696969697,0.2717821585644552,0.0,False
87,87000,no_update,0.04377102057730666,0.08795945747671623,0.40540540540540543,0.08423808833046047,0.09764180881527365,0.6216216216216216,0.13858136211077388,0.0,False
88,88000,no_update,0.05468616468129855,0.09430175753028736,0.40476190476190477,0.09839337699115935,0.10806951610586739,0.6190476190476191,0.15816875895657406,0.0,False
89,89000,no_update,0.04516869335103216,0.1440413563583774,0.44,0.08523758938050686,0.1382279624414707,0.56,0.26009456797072894,0.0,False
90,90000,no_update,0.06648096097903108,0.13656021426496848,0.5,0.09259459578589659,0.14042097056438174,0.6153846153846154,0.2611353923853924,0.0,False
91,91000,no_update,0.06656089663679243,0.1305110718698826,0.5714285714285714,0.10375322029558387,0.13128006757705618,0.7142857142857143,0.29921415535911333,0.0,False
92,92000,no_update,0.0472305635455678,0.10487204938159783,0.37777777777777777,0.09690219876212662,0.11608408023769222,0.6222222222222222,0.232002523142874,0.0,False
