batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,id_resolution_emissions_mg,expand_embeddings_emissions_mg,scoring_emissions_mg,update_prep_emissions_mg,history_update_emissions_mg,batch_emissions_mg,update_emissions_mg,updated
1,1000,incremental,0.05513505485945336,0.11481481481481481,0.12031361844656975,0.5555555555555556,0.08380334089102677,0.0962962962962963,0.12325311609945944,0.6666666666666666,0.23925977798526818,11.725688534230512,55.3363941739683,13.254969566164313,11.656965064565776,11.660955109369123,103.63497244829804,0.0,False
2,2000,incremental,0.0773859319774522,0.08571428571428572,0.1073293465085967,0.5,0.11883097388222208,0.0773809523809524,0.12232321823206448,0.6666666666666666,0.24924722414218212,11.714820097278706,54.67726066601595,13.284278739040113,11.656704378658398,11.658513281595289,102.99157716258847,0.0,False
3,3000,incremental,0.04665526984228189,0.13030303030303034,0.13746286707128416,0.48484848484848486,0.06807987395938575,0.09696969696969697,0.12213992265154613,0.6060606060606061,0.24757290639643578,11.726882496106237,54.87176414817221,13.183519773271406,11.656681758994823,11.659991648882656,103.09883982542733,0.0,False
4,4000,incremental,0.07163121994360878,0.13513513513513514,0.1498620344832649,0.5135135135135135,0.11684072035815535,0.11351351351351349,0.14925353835438243,0.7027027027027027,0.28257249228611453,11.71597792603543,54.37125676364718,13.143358978059267,11.655051791079085,11.65716920525613,102.5428146640771,0.0,False
5,5000,incremental,0.06402803196482891,0.19999999999999998,0.21328231721680255,0.6538461538461539,0.10238411606690495,0.175,0.19822096135534514,0.8461538461538461,0.4136427674889213,11.681737676299534,54.898731765555,13.217218934648235,11.65752107545057,11.661224294404171,103.1164337463575,0.0,False
6,6000,incremental,0.0752500052351872,0.10270270270270272,0.126034761417777,0.5405405405405406,0.1331313440162844,0.0972972972972973,0.14119841692640994,0.7567567567567568,0.25905025905025897,11.727620051670277,54.48020361361662,13.27681338789122,11.655055193095492,11.656473171636392,102.79616541791,0.0,False
7,7000,incremental,0.04612688159297531,0.11562499999999999,0.11740022599287678,0.5625,0.07816544883384055,0.0890625,0.11033601956977439,0.625,0.22435628607503605,11.702658350113186,54.35307931379017,13.233845892619811,11.657426907007778,11.658982499671684,102.60599296320262,0.0,False
8,8000,incremental,0.05955892041606778,0.09705882352941175,0.10741684599784032,0.5,0.0868946063748456,0.07647058823529411,0.10526269784789206,0.6470588235294118,0.21404619202606817,11.714694195079801,54.61005439835276,13.31949201257578,11.657166205332144,11.660708760812119,102.9621155721526,0.0,False
9,9000,incremental,0.07721377953601685,0.08611111111111111,0.11071669234068533,0.5555555555555556,0.16332937120414473,0.08749999999999998,0.1454870975454103,0.75,0.2487845601203444,11.727226734430932,55.68278041657168,13.264595685928997,11.65651016412912,11.660068219873686,103.99118122093441,0.0,False
10,10000,incremental,0.08734967377276638,0.12500000000000003,0.14597740273653376,0.6071428571428571,0.11082787124005086,0.09821428571428571,0.14190827680803259,0.6785714285714286,0.29342185592185593,11.731658840311368,55.242887564292296,13.224058725716178,11.65736032004744,11.662482866995694,103.51844831736298,0.0,False
