batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained
1,1000,0.13978494185084267,0.10500000000000001,0.18723621080641467,0.036585365853658534,0.3,0.3436966913921454,0.13487067632716723,0.11428571428571428,0.19468670988192568,0.047619047619047616,1,82,21,21,5328
2,2000,0.1365516155580718,0.1857142857142857,0.27654036056517733,0.06843194382190348,0.34,0.3610764336505318,0.11862538615381699,0.2263157894736842,0.29878669558763904,0.2631578947368421,5,311,19,38,5328
3,3000,0.018567035468443918,0.07272727272727274,0.0751123128617754,0.049067215383042206,0.2125,0.2210531358773004,0.03140921648511688,0.13157894736842105,0.13656108044725962,0.3684210526315789,7,604,19,53,5328
4,4000,0.05662542794895736,0.07058823529411765,0.08314518223858318,0.06716881381851446,0.35,0.43165094657370817,0.06053038567842295,0.17407407407407408,0.21222139125159245,0.2962962962962963,8,657,27,75,5328
5,5000,0.019605371222419333,0.05161290322580645,0.0638102565586819,0.0360139129875972,0.23333333333333336,0.24664369579717957,0.02226621583298872,0.08108108108108107,0.09345892238114098,0.13513513513513514,5,320,37,105,5328
6,6000,0.06271959333183823,0.03333333333333334,0.041267025433182246,0.10511778613527532,0.41818181818181815,0.4399360106244165,0.07729397210801973,0.16562500000000002,0.17830948909266903,0.28125,9,783,32,128,5328
7,7000,0.03155818540433925,0.015384615384615385,0.023540222987673602,0.06999348661963546,0.23333333333333334,0.2722751883685692,0.04728171771968769,0.10454545454545455,0.12529543609803995,0.2727272727272727,6,573,22,143,5328
8,8000,0.11886961722488038,0.06315789473684212,0.12226855607212063,0.0851637933981741,0.25,0.26871018875118186,0.10582220155002633,0.13548387096774195,0.17895563968982178,0.2903225806451613,9,624,31,168,5328
9,9000,0.03871483792338732,0.1,0.0919601328824056,0.045369101978691026,0.35,0.42179448006319076,0.04019356326901037,0.15555555555555556,0.16525665447813565,0.1111111111111111,2,500,18,182,5328
10,10000,0.026693665278210557,0.061290322580645165,0.07154162763707543,0.17806426207469359,0.3181818181818182,0.39187724832297005,0.06633834539157517,0.12857142857142856,0.15543905210242878,0.21428571428571427,9,494,42,215,5328
11,11000,0.07002535700117979,0.15000000000000002,0.19478426669144489,0.1008289853215724,0.36,0.391216300620881,0.08187290635517695,0.23076923076923078,0.2703350489719972,0.2692307692307692,7,479,26,230,5328
12,12000,0.07431623931623932,0.08421052631578947,0.09376148802641289,0.05569948869153252,0.19090909090909092,0.2133726186398654,0.06749009742051348,0.12333333333333334,0.1376189025846788,0.26666666666666666,8,595,30,246,5328
13,13000,0.042807641044496456,0.08461538461538462,0.09121259186693974,0.0685656629230948,0.37777777777777777,0.38239612264539785,0.053345013631195766,0.20454545454545456,0.21033312718539987,0.36363636363636365,8,807,22,264,5328
14,14000,0.027035768645357686,0.041666666666666664,0.04876750903188495,0.19828297935047753,0.27,0.3760434196681493,0.1048754098749576,0.14545454545454545,0.1975292865938233,0.2727272727272727,6,562,22,280,5328
15,15000,0.013157894736842105,0.025,0.01590519704973793,0.02621488270043839,0.3,0.3595751887755146,0.021466887077312466,0.2,0.23460428269341396,0.5454545454545454,6,897,11,289,5328
16,16000,0.004878048780487805,0.04,0.028403811435525405,0.03465822097934848,0.32,0.32288232230244357,0.01976813487991814,0.18,0.17564306686898448,0.3,3,860,10,295,5328
17,17000,0.005233796054691577,0.09,0.0930095496192381,0.05403420812903572,0.4166666666666667,0.3850890982547229,0.02353395058257063,0.2125,0.20253938035754493,0.25,4,456,16,302,5328
18,18000,0.03481673554892126,0.10909090909090911,0.09593412690905588,0.06359025407192768,0.29000000000000004,0.3183080547533158,0.04851841103606717,0.19523809523809527,0.20182647350156058,0.3333333333333333,7,627,21,313,5328
19,19000,0.0725999245852187,0.10588235294117646,0.12906827829374332,0.05583596906309813,0.3428571428571429,0.3756810024948836,0.06771043755793353,0.17500000000000002,0.20099698951907588,0.125,3,468,24,319,5328
20,20000,0.01685823754789272,0.05000000000000001,0.04417909994213212,0.04798483549604185,0.4166666666666667,0.4044179497555282,0.03242153652196728,0.2333333333333333,0.22429852484883017,0.3333333333333333,4,926,12,324,5328
21,21000,0.006319115323854661,0.13333333333333333,0.17248708330420526,0.05784233658737505,0.48,0.48566369496611744,0.0385211286135549,0.35000000000000003,0.3682224655929004,0.375,3,757,8,8,5328
22,22000,0.02564102564102564,0.1,0.12999919949889363,0.06687644215194133,0.27058823529411763,0.2967090495309031,0.05902207710224312,0.23809523809523808,0.26495479238194897,0.6190476190476191,13,931,21,28,5328
23,23000,0.3428571428571428,0.06666666666666667,0.1418794696815998,0.03540092901742186,0.2222222222222222,0.22074781247351538,0.07932324528023915,0.19999999999999996,0.20948090636038458,0.38095238095238093,8,932,21,41,5328
24,24000,0.02990338164251207,0.06000000000000001,0.04440598815349084,0.06884650667713312,0.2136363636363636,0.22376272899925276,0.06163481685590701,0.18518518518518515,0.1905485177315191,0.5925925925925926,16,899,27,60,5328
25,25000,0.003968253968253968,0.05,0.08973855254290868,0.0424915990184732,0.18,0.18034789770905785,0.036071041510103326,0.15833333333333333,0.16524634018136633,0.375,9,832,24,71,5328
26,26000,0.3,0.04,0.12305045097059224,0.10466723365504914,0.16153846153846158,0.17383820428776872,0.15892633541753548,0.1277777777777778,0.15973049503299747,0.2777777777777778,5,947,18,80,5328
27,27000,0.06190476190476191,0.05,0.06146389406020458,0.05678685459406372,0.1894736842105263,0.21541169553961276,0.057676925430706884,0.16521739130434782,0.18863816484754173,0.43478260869565216,10,933,23,91,5328
28,28000,0.0,0.0,0.0,0.06549113557144377,0.2318181818181818,0.259849448577903,0.06003354094049013,0.2125,0.23819532786307773,0.4583333333333333,11,998,24,104,5328
29,29000,0.0,0.0,0.0,0.06358133799416624,0.23529411764705882,0.2531839469122731,0.06358133799416624,0.23529411764705882,0.2531839469122731,0.47058823529411764,8,1000,17,113,5328
30,30000,0.11538461538461538,0.06000000000000001,0.06632771916358357,0.08680206545873403,0.24705882352941178,0.2892257906574453,0.09329809953279797,0.20454545454545456,0.23856713804520402,0.4090909090909091,9,943,22,128,5328
31,31000,0.0,0.0,0.0,0.046831383123893226,0.3153846153846154,0.3512766015021959,0.03581223415356541,0.24117647058823527,0.26862328350167924,0.4117647058823529,7,995,17,138,5328
32,32000,0.012121212121212121,0.06666666666666667,0.05152477985946608,0.08741170458193508,0.25000000000000006,0.27385116742140386,0.07665591994468893,0.22380952380952382,0.24209025491255562,0.7142857142857143,15,939,21,156,5328
33,33000,0.0024630541871921183,0.014285714285714287,0.011199752711239333,0.07137398958500384,0.195,0.22525089627254244,0.0535081915189045,0.14814814814814814,0.16975615534924163,0.4444444444444444,12,853,27,173,5328
34,34000,0.01417718084384751,0.08333333333333333,0.11933844779467111,0.09164443652466343,0.25,0.2888450579026929,0.07227762260445945,0.20833333333333334,0.2464684053756874,0.3333333333333333,8,847,24,185,5328
35,35000,0.017471091000502766,0.08,0.06869457372629362,0.0684241699531731,0.148,0.1627657848652418,0.059931990127728055,0.13666666666666666,0.14708724967541711,0.43333333333333335,13,696,30,201,5328
36,36000,0.015873015873015872,0.03333333333333333,0.021206929399650572,0.05061414424580172,0.185,0.18776074222429856,0.04608269271891661,0.16521739130434784,0.16603633185586622,0.21739130434782608,5,937,23,209,5328
37,37000,0.04942648814600035,0.15714285714285717,0.16311305492741188,0.08561748377017583,0.20999999999999996,0.23347906409182215,0.076234633052797,0.1962962962962963,0.21523602467882694,0.4074074074074074,11,793,27,224,5328
38,38000,0.12247383086766028,0.09090909090909091,0.13649600400684025,0.052928710146764105,0.1941176470588235,0.21468647657787127,0.08025000757283045,0.15357142857142855,0.18396879092496626,0.39285714285714285,11,684,28,244,5328
39,39000,0.12000000000000001,0.03333333333333334,0.06471541657238095,0.07570548479064498,0.3375,0.3172036959155663,0.09915552225442117,0.17647058823529413,0.18353343038093878,0.29411764705882354,5,932,17,255,5328
40,40000,0.013020022823944393,0.08888888888888888,0.09428918432266556,0.06160681468854469,0.2857142857142857,0.31196000691319753,0.042594591785005444,0.20869565217391303,0.22678446763864152,0.34782608695652173,8,801,23,272,5328
41,41000,0.0487241302573993,0.1,0.1110973030685706,0.03644510043192218,0.21538461538461537,0.19668775335971472,0.04178380905169484,0.16521739130434784,0.15947451410269553,0.34782608695652173,8,802,23,23,5328
42,42000,0.02309668218759128,0.07272727272727272,0.07961581906225645,0.042137448284730365,0.2692307692307692,0.25205855260912846,0.03341043049020829,0.17916666666666667,0.17302229973347882,0.3333333333333333,8,732,24,44,5328
43,43000,0.0935064935064935,0.018181818181818184,0.03403581070575829,0.08961711422320491,0.3444444444444444,0.38539623350818175,0.09175627282901364,0.16499999999999998,0.19214800096684886,0.2,4,703,20,60,5328
44,44000,0.019168231269315588,0.1111111111111111,0.09868139855481907,0.10808788347536794,0.21999999999999997,0.2582401532603831,0.05092524991433428,0.15,0.15566666809252053,0.14285714285714285,4,477,28,79,5328
45,45000,0.005952380952380952,0.008333333333333333,0.009170490262420007,0.06116357684862997,0.24666666666666667,0.26143924411223224,0.03662526756140819,0.14074074074074075,0.1493197979567601,0.3333333333333333,9,859,27,101,5328
46,46000,0.020630177204571668,0.029411764705882353,0.022808846218696083,0.09264097097773358,0.1933333333333333,0.22427731310091678,0.05438523678574132,0.10625,0.11724719006973705,0.21875,7,917,32,129,5328
47,47000,0.020833333333333332,0.0125,0.01304103910567388,0.043322474079495805,0.31666666666666665,0.33313225528557966,0.030471536510260105,0.14285714285714285,0.1502229888970621,0.21428571428571427,6,853,28,149,5328
48,48000,0.044101169879716594,0.03529411764705883,0.049321674917104937,0.06521851863754134,0.2136363636363636,0.23293603100230872,0.05601352046105364,0.13589743589743591,0.15289900399080966,0.28205128205128205,11,829,39,179,5328
49,49000,0.033582089552238806,0.04375,0.06758737280587922,0.05615001861537613,0.24285714285714288,0.26550513518504487,0.04411378978170289,0.1366666666666667,0.15994899524948986,0.16666666666666666,5,772,30,199,5328
50,50000,0.14834001782531195,0.05,0.11243533455768483,0.09784660365585761,0.2909090909090909,0.34392921041239616,0.11910698856931208,0.18947368421052632,0.24645810478935984,0.2631578947368421,5,653,19,210,5328
