section,no_update,incremental,content_coldstart,content_incremental
training_emissions_mg,1832435.5559161347,1832435.5559161347,1832435.5559161347,1832435.5559161347
id_mapping_emissions_mg,139.519888251926,136.1259849647014,133.31038224961895,150.83312382080396
checkpoint_load_emissions_mg,145.71824072917696,137.38873883810143,134.04968409061243,138.618300290638
build_user_history_emissions_mg,51.51136314045333,49.97337363305118,50.55906149042158,51.28186196859668
embedding_snapshot_emissions_mg,,,16.779879764066635,18.103373286582524
content_build_emissions_mg,,,618.7803914489825,0.0
id_resolution_emissions_mg,5912.213194895556,5918.256419904765,5914.467715142959,5914.261314790469
recovered_history_seed_emissions_mg,,,8660.796664814987,8625.24976191491
expand_embeddings_emissions_mg,67336.7914387605,79835.57833834118,71180.26874035026,81586.26787774637
gt_split_emissions_mg,,,5895.597825877447,5883.793049171067
scoring_emissions_mg,9963.367699977565,10953.632266822286,7691.436421651564,7663.78098735612
update_prep_emissions_mg,5875.061350851885,5876.679804825209,,
history_update_emissions_mg,5881.51722463192,5881.220428239516,5888.32522372596,5887.362667313624
apply_content_seeds_emissions_mg,,,6238.033429375528,6304.400583670324
batch_total_emissions_mg,94968.9509091174,108465.36725813296,111468.92602093871,121865.1162419629
update_total_emissions_mg,0.0,16264.086409533784,0.0,16097.21237881633
n_updates,0.0,25.0,0.0,25.0
avg_emissions_per_update_mg,0.0,650.5634563813513,0.0,643.8884951526531
streaming_emissions_mg,95305.70040123897,125052.9417651026,112422.40541998247,138321.16528014583
grand_total_mg,1927741.2563173736,1957488.4976812373,1944857.9613361172,1970756.7211962806
