batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained,n_first_time_new_user_interactions,n_untrained_users_active,pct_untrained_users,window_unique_untrained_users
1,1000,0.029757217847769,0.0041338582677165,0.0156066678033404,0.0,0.0,0.0,0.0215337132003798,0.0029914529914529,0.0112937140229301,0.2763532763532763,194,288,702,702,65679,288,194,0.27635327635327633,194
2,2000,0.0165841584158415,0.0019801980198019,0.0087155301950888,0.0068493150684931,0.0009132420091324,0.0025097424234031,0.0136395027624309,0.0016574585635359,0.0068383651094546,0.2831491712707182,205,306,724,1369,65679,288,219,0.30248618784530384,399
3,3000,0.0322043969102792,0.004313725490196,0.0185549753211822,0.0063291139240506,0.00084388185654,0.0051409596490217,0.0239949697781023,0.0032128514056224,0.0142991229593321,0.2771084337349397,207,320,747,2008,65679,278,237,0.3172690763052209,606
4,4000,0.0154626762985896,0.0025490196078431,0.0067329127918906,0.0095238095238095,0.0009523809523809,0.0028787128719219,0.013730506822612,0.0020833333333333,0.0056087711485664,0.2486111111111111,179,302,720,2602,65679,252,210,0.2916666666666667,785
5,5000,0.0216234198270126,0.0023952095808383,0.0134385007340887,0.0061036372695565,0.0013452914798206,0.0055692719679227,0.0168431553100061,0.0020718232044198,0.0110146913213055,0.2458563535911602,178,319,724,3164,65679,237,223,0.3080110497237569,963
6,6000,0.0290616246498599,0.0042016806722689,0.0157932299754997,0.0039308176100628,0.000943396226415,0.0025230837864031,0.0213178294573643,0.0031976744186046,0.0117041733009525,0.2456395348837209,169,356,688,3672,65679,272,212,0.3081395348837209,1132
7,7000,0.0138888888888888,0.0020833333333333,0.0074080881288959,0.0028877887788778,0.0009900990099009,0.0016463436176492,0.0106304985337243,0.0017595307917888,0.0057015303704328,0.2155425219941349,147,311,682,4141,65679,207,202,0.2961876832844575,1279
8,8000,0.0259784075573549,0.0042510121457489,0.0143217840363901,0.0111111111111111,0.0014285714285714,0.0084712890907351,0.0215435606060606,0.0034090909090909,0.0125766079872601,0.2144886363636363,151,308,704,4641,65679,220,210,0.29829545454545453,1430
9,9000,0.0274781919111816,0.0032989690721649,0.0135116712002049,0.0025811209439528,0.0008849557522123,0.003803799893871,0.0195643550073929,0.0025316455696202,0.0104259061998794,0.2250351617440225,160,344,711,5099,65679,230,226,0.3178621659634318,1590
10,10000,0.0167674731182795,0.0026209677419354,0.0087842446472272,0.0,0.0,0.0,0.0118979494515975,0.0018597997138769,0.0062331693061869,0.2160228898426323,151,305,699,5571,65679,223,203,0.290414878397711,1741
