batch,interactions,recall_existing,precision_existing,ndcg_existing,hr_existing,mrr_existing,recall_new_content,precision_new_content,ndcg_new_content,hr_new_content,mrr_new_content,recall_overall_content,precision_overall_content,ndcg_overall_content,hr_overall_content,mrr_overall_content,n_new_users,pct_new_users,n_users_trained,id_resolution_emissions_mg,recovered_history_seed_emissions_mg,expand_embeddings_emissions_mg,gt_split_emissions_mg,scoring_emissions_mg,history_update_emissions_mg,apply_content_seeds_emissions_mg,batch_emissions_mg
1,1000,0.13978494185084267,0.10500000000000001,0.18723621080641467,0.5,0.31333333333333335,0.036585365853658534,0.3,0.3436966913921454,1.0,0.5,0.13487067632716723,0.11428571428571428,0.19468670988192568,0.5238095238095238,0.32222222222222224,1,0.047619047619047616,5328,11.723178879002427,11.656223618167248,56.67954376158786,11.659691419955868,11.737041082442731,11.660952006951007,11.681846659084732,126.79847742719186
2,2000,0.1365516155580718,0.1857142857142857,0.27654036056517733,0.5714285714285714,0.4507936507936508,0.06843194382190348,0.34,0.3610764336505318,0.8,0.6666666666666666,0.11862538615381699,0.2263157894736842,0.29878669558763904,0.631578947368421,0.5076023391812865,5,0.2631578947368421,5328,11.726873259809343,11.656279414388733,57.55946298285284,11.662682750237977,11.720203127826357,11.663091437653103,11.750160380914428,127.73875335368278
3,3000,0.018567035468443918,0.07272727272727274,0.0751123128617754,0.2727272727272727,0.13636363636363635,0.04982479114061796,0.225,0.241957532425932,0.875,0.5104166666666666,0.03172819575146457,0.1368421052631579,0.1453629316256308,0.5263157894736842,0.29385964912280704,7,0.3684210526315789,5328,11.719933580119774,11.656461775078867,56.75557490635226,11.662707912544189,11.714766145951277,11.672801210126895,11.774237049696481,126.95648257986973
4,4000,0.05662542794895736,0.07058823529411765,0.08314518223858318,0.29411764705882354,0.14313725490196078,0.07053960033536841,0.38,0.4704753518504073,0.9,0.9,0.061778825129109594,0.18518518518518517,0.22660080061333285,0.5185185185185185,0.42345679012345677,8,0.2962962962962963,5328,11.731819168707977,11.656195759477285,56.50637684712187,11.663404123557507,11.744002557900886,11.66491616410518,11.793318923416173,126.76003354428687
5,5000,0.019605371222419333,0.05161290322580645,0.0638102565586819,0.2903225806451613,0.14093701996927804,0.04695408392776814,0.26666666666666666,0.2854593001855266,0.8333333333333334,0.5722222222222223,0.024040297607070493,0.08648648648648649,0.09975334471438645,0.3783783783783784,0.21087516087516087,5,0.13513513513513514,5328,11.715286567724553,11.665441943167071,56.41428784496452,11.660836933649913,11.775134681363935,11.664423671979433,11.730582076518765,126.62599371936821
6,6000,0.06271959333183823,0.03333333333333334,0.041267025433182246,0.19047619047619047,0.052380952380952375,0.1500344079749741,0.41818181818181815,0.48677830822540985,0.8181818181818182,0.6666666666666666,0.09273406086541619,0.165625,0.1944115288930105,0.40625,0.2635416666666667,9,0.28125,5328,11.731242284501556,11.665645851274592,56.736673907021164,11.663479858827234,11.761581442503084,11.671587533901729,11.791173796402761,127.02138467443211
7,7000,0.03155818540433925,0.015384615384615385,0.023540222987673602,0.15384615384615385,0.05128205128205128,0.044037202466629996,0.23333333333333334,0.2632268676528614,0.7777777777777778,0.5308641975308642,0.03666323783891274,0.10454545454545455,0.12159385035070498,0.4090909090909091,0.2474747474747475,6,0.2727272727272727,5328,11.718792012449303,11.655821080399374,56.74180007318751,11.662498481580407,11.726825698596182,11.672131911703897,11.762683869246402,126.94055312716307
8,8000,0.11886961722488038,0.06315789473684212,0.12226855607212063,0.47368421052631576,0.15657894736842107,0.08768904592342663,0.25833333333333336,0.2698022441694877,0.9166666666666666,0.4968584656084656,0.1067997186565757,0.13870967741935483,0.17937837081948854,0.6451612903225806,0.288300051203277,9,0.2903225806451613,5328,11.731019706695978,11.664824317548236,56.22965348504633,11.661778976807804,11.749891199821322,11.669707969153963,11.771641520164945,126.47851717523858
9,9000,0.03871483792338732,0.1,0.0919601328824056,0.42857142857142855,0.13174603174603175,0.053976407914764074,0.4,0.46947048919575207,1.0,0.875,0.04210629792147105,0.16666666666666666,0.17585132317426036,0.5555555555555556,0.29691358024691356,2,0.1111111111111111,5328,11.711256345226483,11.657478315692378,56.62398070774115,11.662944535986274,11.72030907126663,11.670078138490553,11.701236295460008,126.74728340986347
10,10000,0.026693665278210557,0.061290322580645165,0.07154162763707543,0.25806451612903225,0.13292370711725549,0.18311476712519867,0.33636363636363636,0.39047865948461824,1.0,0.61010101010101,0.06766109671432649,0.13333333333333333,0.15507275502571757,0.4523809523809524,0.2578987150415722,9,0.21428571428571427,5328,11.713640831482715,11.656395071117826,56.232323106812814,11.66053319232854,11.77529562866749,11.666594442229401,11.786511611350464,126.49129388398926
