batch,interactions,recall_existing,precision_existing,ndcg_existing,hr_existing,mrr_existing,recall_new_content,precision_new_content,ndcg_new_content,hr_new_content,mrr_new_content,recall_overall_content,precision_overall_content,ndcg_overall_content,hr_overall_content,mrr_overall_content,n_new_users,pct_new_users,n_users_trained,id_resolution_emissions_mg,recovered_history_seed_emissions_mg,expand_embeddings_emissions_mg,gt_split_emissions_mg,scoring_emissions_mg,history_update_emissions_mg,apply_content_seeds_emissions_mg,batch_emissions_mg,update_emissions_mg,updated
1,1000,0.13978494185084267,0.10500000000000001,0.18723621080641467,0.5,0.31333333333333335,0.036585365853658534,0.3,0.3436966913921454,1.0,0.5,0.13487067632716723,0.11428571428571428,0.19468670988192568,0.5238095238095238,0.32222222222222224,1,0.047619047619047616,5328,11.725420472688677,11.657248441094236,56.68270129401433,11.660806181472253,11.742760552894966,11.664410709795778,11.689606268073183,126.82295392003341,0.0,False
2,2000,0.1365516155580718,0.1857142857142857,0.27654036056517733,0.5714285714285714,0.4507936507936508,0.06843194382190348,0.34,0.3610764336505318,0.8,0.6666666666666666,0.11862538615381699,0.2263157894736842,0.29878669558763904,0.631578947368421,0.5076023391812865,5,0.2631578947368421,5328,11.719767625314809,11.658150578560798,56.983583307998074,11.662858701103616,11.722659320545189,11.666583667904609,11.756709731462323,127.17031293288942,0.0,False
3,3000,0.018567035468443918,0.07272727272727274,0.0751123128617754,0.2727272727272727,0.13636363636363635,0.04982479114061796,0.225,0.241957532425932,0.875,0.5104166666666666,0.03172819575146457,0.1368421052631579,0.1453629316256308,0.5263157894736842,0.29385964912280704,7,0.3684210526315789,5328,11.729765304826817,11.657850980367051,56.799415235102984,11.661988585165005,11.714398783376563,11.6734392084228,11.777745044079307,127.01460314134054,0.0,False
4,4000,0.05662542794895736,0.07058823529411765,0.08314518223858318,0.29411764705882354,0.14313725490196078,0.07053960033536841,0.38,0.4704753518504073,0.9,0.9,0.061778825129109594,0.18518518518518517,0.22660080061333285,0.5185185185185185,0.42345679012345677,8,0.2962962962962963,5328,11.722643330939444,11.656860331344548,56.59329146730468,11.662863305454858,11.743800265068554,11.671418584172848,11.791232687572696,126.84210997185765,0.0,False
5,5000,0.019605371222419333,0.05161290322580645,0.0638102565586819,0.2903225806451613,0.14093701996927804,0.04695408392776814,0.26666666666666666,0.2854593001855266,0.8333333333333334,0.5722222222222223,0.024040297607070493,0.08648648648648649,0.09975334471438645,0.3783783783783784,0.21087516087516087,5,0.13513513513513514,5328,11.717038987984129,11.667918015802842,57.25748707862332,11.655745096778285,11.73149679265645,11.666042779460659,11.726049948204308,127.42177869950999,0.0,False
6,6000,0.06271959333183823,0.03333333333333334,0.041267025433182246,0.19047619047619047,0.052380952380952375,0.1500344079749741,0.41818181818181815,0.48677830822540985,0.8181818181818182,0.6666666666666666,0.09273406086541619,0.165625,0.1944115288930105,0.40625,0.2635416666666667,9,0.28125,5328,11.728970273714584,11.66981145273526,60.5161911775582,11.66546008068395,11.76643759414806,11.67254532506842,11.778648495127655,130.7980643990361,0.0,False
7,7000,0.03155818540433925,0.015384615384615385,0.023540222987673602,0.15384615384615385,0.05128205128205128,0.044037202466629996,0.23333333333333334,0.2632268676528614,0.7777777777777778,0.5308641975308642,0.03666323783891274,0.10454545454545455,0.12159385035070498,0.4090909090909091,0.2474747474747475,6,0.2727272727272727,5328,11.740590568102009,11.6568272454544,58.36524660768035,11.662318785737348,11.730296441177321,11.674540196306452,11.775634371730385,128.60545421618826,0.0,False
8,8000,0.11886961722488038,0.06315789473684212,0.12226855607212063,0.47368421052631576,0.15657894736842107,0.08768904592342663,0.25833333333333336,0.2698022441694877,0.9166666666666666,0.4968584656084656,0.1067997186565757,0.13870967741935483,0.17937837081948854,0.6451612903225806,0.288300051203277,9,0.2903225806451613,5328,11.740309123193507,11.667315310962596,58.27921383493506,11.664396136540226,11.755820453065525,11.670281348849683,11.788655090570105,128.56599129811673,0.0,False
9,9000,0.03871483792338732,0.1,0.0919601328824056,0.42857142857142855,0.13174603174603175,0.053976407914764074,0.4,0.46947048919575207,1.0,0.875,0.04210629792147105,0.16666666666666666,0.17585132317426036,0.5555555555555556,0.29691358024691356,2,0.1111111111111111,5328,11.739208257514292,11.65812352799762,57.755939928255934,11.663908280302396,11.730755603004154,11.674481214883192,11.714055384715168,127.93647219667275,0.0,False
10,10000,0.026693665278210557,0.061290322580645165,0.07154162763707543,0.25806451612903225,0.13292370711725549,0.18311476712519867,0.33636363636363636,0.39047865948461824,1.0,0.61010101010101,0.06766109671432649,0.13333333333333333,0.15507275502571757,0.4523809523809524,0.2578987150415722,9,0.21428571428571427,5328,11.747653733494307,11.659875105185167,57.88681590339177,11.662801462080253,11.784323121443807,11.670532818170743,11.811173627987666,128.22317577175372,0.0,False
