section,no_update,incremental,content_coldstart,content_incremental
training_emissions_mg,188839.35132525885,188839.35132525885,188839.35132525885,188839.35132525885
id_mapping_emissions_mg,43.883429150006506,40.40543636833722,40.549326911489445,40.8724352174598
checkpoint_load_emissions_mg,58.839224538126544,63.02788328439027,56.678789731347194,56.375879671313136
build_user_history_emissions_mg,19.74386248347301,19.798614263410308,19.57341035593479,19.622908785620982
embedding_snapshot_emissions_mg,,,13.407277404013932,13.224382866716542
content_build_emissions_mg,,,119.09362791778815,0.0
id_resolution_emissions_mg,1968.122247062884,1947.1472485639092,1945.0206543644283,1946.1592341109413
recovered_history_seed_emissions_mg,,,1936.032545184835,1935.9654824798627
expand_embeddings_emissions_mg,8934.65663170579,8746.768356419912,8138.565210542685,9015.369196240148
gt_split_emissions_mg,,,1935.998304115149,1935.9996016387286
scoring_emissions_mg,2332.898516048225,2237.065506455849,1956.801018094945,1957.0957546991626
update_prep_emissions_mg,1964.7941147584006,1935.6548958867809,,
history_update_emissions_mg,1963.429569262736,1935.9321775311482,1938.1905568859315,1938.1908408494523
apply_content_seeds_emissions_mg,,,1944.7817773606434,1945.1505292768484
batch_total_emissions_mg,17163.901078838036,16802.5681848576,19795.390066548614,20673.930639295144
update_total_emissions_mg,0.0,1728.3851986227571,0.0,1814.1753594363736
n_updates,0.0,8.0,0.0,8.0
avg_emissions_per_update_mg,0.0,216.04814982784467,0.0,226.77191992954667
streaming_emissions_mg,17286.367595009644,18654.185317396492,20044.692498869183,22618.201605272636
grand_total_mg,206125.7189202685,207493.53664265532,208884.04382412802,211457.55293053147
