batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,id_resolution_emissions_mg,expand_embeddings_emissions_mg,scoring_emissions_mg,update_prep_emissions_mg,history_update_emissions_mg,batch_emissions_mg,update_emissions_mg,updated
1,1000,full_retrain,0.13487067632716723,0.11428571428571428,0.19468670988192568,0.5238095238095238,0.14805863501455946,0.12142857142857144,0.20108019888336198,0.5238095238095238,0.32222222222222224,11.714486928318836,55.70715707446032,13.290296471149338,11.665701225693347,11.660655282534567,104.03829698215641,0.0,False
2,2000,full_retrain,0.11862538615381699,0.22631578947368425,0.29878669558763904,0.631578947368421,0.14571578853663245,0.17105263157894737,0.25834093472444636,0.6842105263157895,0.5113617376775272,11.715238557113848,55.64700581979883,13.312124820463614,11.668051652365596,11.661321561323083,104.00374241106495,0.0,False
3,3000,full_retrain,0.03140921648511688,0.13157894736842105,0.13656108044725962,0.5263157894736842,0.06683061201880214,0.12894736842105262,0.14019721735847926,0.7368421052631579,0.2907400079145231,11.72513375327514,55.31364738165802,13.328545220211595,11.662687287573815,11.6589121374591,103.68892578017767,0.0,False
4,4000,full_retrain,0.06053038567842295,0.17407407407407405,0.21222139125159245,0.5185185185185185,0.12543652561358667,0.15925925925925924,0.20236804704543085,0.5555555555555556,0.40778727445394103,11.713587404452284,54.4921293162946,13.236665015830184,11.660015443286548,11.660242136625346,102.76263931648897,0.0,False
5,5000,full_retrain,0.022266215832988722,0.08108108108108109,0.09345892238114098,0.35135135135135137,0.09550477108843437,0.08513513513513513,0.11022969651024292,0.40540540540540543,0.1985010220304338,11.713129646006605,55.498645511146776,13.3337315436833,11.660902163272507,11.660885910070489,103.86729477417968,0.0,False
6,6000,full_retrain,0.07729397210801973,0.16562500000000002,0.17830948909266903,0.40625,0.14425437559177923,0.15625,0.1893230277345539,0.4375,0.23424479166666665,11.710915284219356,55.86942210912267,13.368247671269817,11.661330202365608,11.659162384734692,104.26907765171214,0.0,False
7,7000,full_retrain,0.0472817177196877,0.10454545454545454,0.12529543609803995,0.45454545454545453,0.0970299130702715,0.10454545454545455,0.13289535439988764,0.5909090909090909,0.26896167557932266,11.716397182171098,55.72979500629725,13.228045974806538,11.668402627707701,11.661802412482103,104.00444320346469,0.0,False
8,8000,full_retrain,0.10582220155002635,0.13548387096774192,0.1789556396898217,0.6451612903225806,0.1372264730144944,0.1161290322580645,0.17838420881334419,0.7741935483870968,0.308409332602881,11.725872601841886,54.65665752497364,13.319211518194262,11.660473962553917,11.661997241975897,103.02421284953961,0.0,False
9,9000,full_retrain,0.040193563269010364,0.15555555555555556,0.16525665447813565,0.5555555555555556,0.05853254567373248,0.1361111111111111,0.15607538911654467,0.6666666666666666,0.28741382074715405,11.713044426088894,54.83664578445884,13.267011112965115,11.662473760787503,11.659376128335527,103.13855121263589,0.0,False
10,10000,full_retrain,0.06633834539157517,0.12857142857142856,0.15543905210242878,0.4523809523809524,0.12467872922581284,0.11190476190476188,0.14967210246754054,0.5238095238095238,0.25629106343392055,11.716764221495055,54.917640549836946,13.41062844516694,11.663857510234775,11.659490945401322,103.36838167213503,0.0,False
