batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained,n_first_time_new_user_interactions,n_untrained_users_active,pct_untrained_users,window_unique_untrained_users
1,1000,0.1397849418508426,0.105,0.1872362108064146,0.0365853658536585,0.3,0.3436966913921454,0.1348706763271672,0.1142857142857142,0.1946867098819256,0.0476190476190476,1,82,21,21,5328,82,1,0.047619047619047616,1
2,2000,0.1365516155580718,0.1857142857142857,0.2765403605651773,0.0684319438219034,0.34,0.3610764336505318,0.1186253861538169,0.2263157894736842,0.298786695587639,0.2631578947368421,5,311,19,38,5328,311,5,0.2631578947368421,6
3,3000,0.0185670354684439,0.0727272727272727,0.0751123128617754,0.0490672153830422,0.2125,0.2210531358773004,0.0314092164851168,0.131578947368421,0.1365610804472596,0.3684210526315789,7,604,19,53,5328,439,8,0.42105263157894735,13
4,4000,0.0566254279489573,0.0705882352941176,0.0831451822385831,0.0671688138185144,0.35,0.4316509465737081,0.0605303856784229,0.174074074074074,0.2122213912515924,0.2962962962962963,8,657,27,75,5328,555,10,0.37037037037037035,21
5,5000,0.0196053712224193,0.0516129032258064,0.0638102565586819,0.0360139129875972,0.2333333333333333,0.2466436957971795,0.0222662158329887,0.081081081081081,0.0934589223811409,0.1351351351351351,5,320,37,105,5328,281,6,0.16216216216216217,26
6,6000,0.0627195933318382,0.0333333333333333,0.0412670254331822,0.1051177861352753,0.4181818181818181,0.4399360106244165,0.0772939721080197,0.165625,0.178309489092669,0.28125,9,783,32,128,5328,780,11,0.34375,35
7,7000,0.0315581854043392,0.0153846153846153,0.0235402229876736,0.0699934866196354,0.2333333333333333,0.2722751883685692,0.0472817177196876,0.1045454545454545,0.1252954360980399,0.2727272727272727,6,573,22,143,5328,506,9,0.4090909090909091,41
8,8000,0.1188696172248803,0.0631578947368421,0.1222685560721206,0.0851637933981741,0.25,0.2687101887511818,0.1058222015500263,0.1354838709677419,0.1789556396898217,0.2903225806451613,9,624,31,168,5328,567,12,0.3870967741935484,50
9,9000,0.0387148379233873,0.1,0.0919601328824056,0.045369101978691,0.35,0.4217944800631907,0.0401935632690103,0.1555555555555555,0.1652566544781356,0.1111111111111111,2,500,18,182,5328,277,4,0.2222222222222222,52
10,10000,0.0266936652782105,0.0612903225806451,0.0715416276370754,0.1780642620746935,0.3181818181818182,0.39187724832297,0.0663383453915751,0.1285714285714285,0.1554390521024287,0.2142857142857142,9,494,42,215,5328,457,11,0.2619047619047619,61
11,11000,0.0700253570011797,0.15,0.1947842666914448,0.1008289853215724,0.36,0.391216300620881,0.0818729063551769,0.2307692307692307,0.2703350489719972,0.2692307692307692,7,479,26,230,5328,411,10,0.38461538461538464,68
12,12000,0.0743162393162393,0.0842105263157894,0.0937614880264128,0.0556994886915325,0.1909090909090909,0.2133726186398654,0.0674900974205134,0.1233333333333333,0.1376189025846788,0.2666666666666666,8,595,30,246,5328,478,11,0.36666666666666664,76
13,13000,0.0428076410444964,0.0846153846153846,0.0912125918669397,0.0685656629230948,0.3777777777777777,0.3823961226453978,0.0533450136311957,0.2045454545454545,0.2103331271853998,0.3636363636363636,8,807,22,264,5328,655,9,0.4090909090909091,84
14,14000,0.0270357686453576,0.0416666666666666,0.0487675090318849,0.1982829793504775,0.27,0.3760434196681493,0.1048754098749576,0.1454545454545454,0.1975292865938233,0.2727272727272727,6,562,22,280,5328,412,10,0.45454545454545453,90
15,15000,0.0131578947368421,0.025,0.0159051970497379,0.0262148827004383,0.3,0.3595751887755146,0.0214668870773124,0.2,0.2346042826934139,0.5454545454545454,6,897,11,289,5328,687,7,0.6363636363636364,96
16,16000,0.0048780487804878,0.04,0.0284038114355254,0.0346582209793484,0.32,0.3228823223024435,0.0197681348799181,0.18,0.1756430668689844,0.3,3,860,10,295,5328,351,5,0.5,99
17,17000,0.0052337960546915,0.09,0.0930095496192381,0.0540342081290357,0.4166666666666667,0.3850890982547229,0.0235339505825706,0.2125,0.2025393803575449,0.25,4,456,16,302,5328,301,6,0.375,103
18,18000,0.0348167355489212,0.1090909090909091,0.0959341269090558,0.0635902540719276,0.29,0.3183080547533158,0.0485184110360671,0.1952380952380952,0.2018264735015605,0.3333333333333333,7,627,21,313,5328,526,10,0.47619047619047616,110
19,19000,0.0725999245852187,0.1058823529411764,0.1290682782937433,0.0558359690630981,0.3428571428571429,0.3756810024948836,0.0677104375579335,0.175,0.2009969895190758,0.125,3,468,24,319,5328,126,7,0.2916666666666667,113
20,20000,0.0168582375478927,0.05,0.0441790999421321,0.0479848354960418,0.4166666666666667,0.4044179497555282,0.0324215365219672,0.2333333333333333,0.2242985248488301,0.3333333333333333,4,926,12,324,5328,440,6,0.5,117
21,21000,0.0063191153238546,0.1333333333333333,0.1724870833042052,0.057842336587375,0.48,0.4856636949661174,0.0385211286135549,0.35,0.3682224655929004,0.375,3,757,8,8,5328,162,5,0.625,5
22,22000,0.0256410256410256,0.1,0.1299991994988936,0.0668764421519413,0.2705882352941176,0.2967090495309031,0.0590220771022431,0.238095238095238,0.2649547923819489,0.6190476190476191,13,931,21,28,5328,857,17,0.8095238095238095,21
23,23000,0.3428571428571428,0.0666666666666666,0.1418794696815998,0.0354009290174218,0.2222222222222222,0.2207478124735153,0.0793232452802391,0.1999999999999999,0.2094809063603845,0.3809523809523809,8,932,21,41,5328,305,18,0.8571428571428571,33
24,24000,0.029903381642512,0.06,0.0444059881534908,0.0688465066771331,0.2136363636363636,0.2237627289992527,0.061634816855907,0.1851851851851851,0.1905485177315191,0.5925925925925926,16,899,27,60,5328,736,22,0.8148148148148148,49
25,25000,0.0039682539682539,0.05,0.0897385525429086,0.0424915990184732,0.18,0.1803478977090578,0.0360710415101033,0.1583333333333333,0.1652463401813663,0.375,9,832,24,71,5328,545,20,0.8333333333333334,58
26,26000,0.3,0.04,0.1230504509705922,0.1046672336550491,0.1615384615384615,0.1738382042877687,0.1589263354175354,0.1277777777777778,0.1597304950329974,0.2777777777777778,5,947,18,80,5328,94,13,0.7222222222222222,63
27,27000,0.0619047619047619,0.05,0.0614638940602045,0.0567868545940637,0.1894736842105263,0.2154116955396127,0.0576769254307068,0.1652173913043478,0.1886381648475417,0.4347826086956521,10,933,23,91,5328,478,19,0.8260869565217391,73
28,28000,0.0,0.0,0.0,0.0654911355714437,0.2318181818181818,0.259849448577903,0.0600335409404901,0.2125,0.2381953278630777,0.4583333333333333,11,998,24,104,5328,386,22,0.9166666666666666,84
29,29000,0.0,0.0,0.0,0.0635813379941662,0.2352941176470588,0.2531839469122731,0.0635813379941662,0.2352941176470588,0.2531839469122731,0.4705882352941176,8,1000,17,113,5328,405,17,1.0,93
30,30000,0.1153846153846153,0.06,0.0663277191635835,0.086802065458734,0.2470588235294117,0.2892257906574453,0.0932980995327979,0.2045454545454545,0.238567138045204,0.4090909090909091,9,943,22,128,5328,332,17,0.7727272727272727,103
31,31000,0.0,0.0,0.0,0.0468313831238932,0.3153846153846154,0.3512766015021959,0.0358122341535654,0.2411764705882352,0.2686232835016792,0.4117647058823529,7,995,17,138,5328,528,13,0.7647058823529411,110
32,32000,0.0121212121212121,0.0666666666666666,0.051524779859466,0.087411704581935,0.25,0.2738511674214038,0.0766559199446889,0.2238095238095238,0.2420902549125556,0.7142857142857143,15,939,21,156,5328,792,18,0.8571428571428571,125
33,33000,0.0024630541871921,0.0142857142857142,0.0111997527112393,0.0713739895850038,0.195,0.2252508962725424,0.0535081915189045,0.1481481481481481,0.1697561553492416,0.4444444444444444,12,853,27,173,5328,595,20,0.7407407407407407,137
34,34000,0.0141771808438475,0.0833333333333333,0.1193384477946711,0.0916444365246634,0.25,0.2888450579026929,0.0722776226044594,0.2083333333333333,0.2464684053756874,0.3333333333333333,8,847,24,185,5328,204,18,0.75,145
35,35000,0.0174710910005027,0.08,0.0686945737262936,0.0684241699531731,0.148,0.1627657848652418,0.059931990127728,0.1366666666666666,0.1470872496754171,0.4333333333333333,13,696,30,201,5328,384,25,0.8333333333333334,158
36,36000,0.0158730158730158,0.0333333333333333,0.0212069293996505,0.0506141442458017,0.185,0.1877607422242985,0.0460826927189166,0.1652173913043478,0.1660363318558662,0.217391304347826,5,937,23,209,5328,175,20,0.8695652173913043,163
37,37000,0.0494264881460003,0.1571428571428571,0.1631130549274118,0.0856174837701758,0.2099999999999999,0.2334790640918221,0.076234633052797,0.1962962962962963,0.2152360246788269,0.4074074074074074,11,793,27,224,5328,343,20,0.7407407407407407,174
38,38000,0.1224738308676602,0.0909090909090909,0.1364960040068402,0.0529287101467641,0.1941176470588235,0.2146864765778712,0.0802500075728304,0.1535714285714285,0.1839687909249662,0.3928571428571428,11,684,28,244,5328,397,17,0.6071428571428571,185
39,39000,0.12,0.0333333333333333,0.0647154165723809,0.0757054847906449,0.3375,0.3172036959155663,0.0991555222544211,0.1764705882352941,0.1835334303809387,0.2941176470588235,5,932,17,255,5328,313,8,0.47058823529411764,190
40,40000,0.0130200228239443,0.0888888888888888,0.0942891843226655,0.0616068146885446,0.2857142857142857,0.3119600069131975,0.0425945917850054,0.208695652173913,0.2267844676386415,0.3478260869565217,8,801,23,272,5328,474,14,0.6086956521739131,200
41,41000,0.0487241302573993,0.1,0.1110973030685706,0.0364451004319221,0.2153846153846153,0.1966877533597147,0.0417838090516948,0.1652173913043478,0.1594745141026955,0.3478260869565217,8,802,23,23,5328,554,13,0.5652173913043478,13
42,42000,0.0230966821875912,0.0727272727272727,0.0796158190622564,0.0421374482847303,0.2692307692307692,0.2520585526091284,0.0334104304902082,0.1791666666666666,0.1730222997334788,0.3333333333333333,8,732,24,44,5328,627,13,0.5416666666666666,25
43,43000,0.0935064935064935,0.0181818181818181,0.0340358107057582,0.0896171142232049,0.3444444444444444,0.3853962335081817,0.0917562728290136,0.1649999999999999,0.1921480009668488,0.2,4,703,20,60,5328,372,9,0.45,32
44,44000,0.0191682312693155,0.1111111111111111,0.098681398554819,0.1080878834753679,0.2199999999999999,0.2582401532603831,0.0509252499143342,0.15,0.1556666680925205,0.1428571428571428,4,477,28,79,5328,55,10,0.35714285714285715,38
45,45000,0.0059523809523809,0.0083333333333333,0.00917049026242,0.0611635768486299,0.2466666666666666,0.2614392441122322,0.0366252675614081,0.1407407407407407,0.1493197979567601,0.3333333333333333,9,859,27,101,5328,666,15,0.5555555555555556,50
