batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained
1,1000,0.06152938674419779,0.028187919463087248,0.052189438253833605,0.0,0.0,0.0,0.04407633954271861,0.020192307692307693,0.037385703364525034,0.28365384615384615,59,127,208,208,59868
2,2000,0.06441638029939352,0.020379146919431282,0.04428201662370539,0.0056179775280898875,0.0011235955056179776,0.0029670575569954033,0.04697285414390677,0.014666666666666668,0.03202524543391476,0.2733333333333333,82,176,300,463,59868
3,3000,0.06217446850466171,0.02406417112299465,0.04534530752295573,0.0,0.0,0.0,0.04885136811080563,0.018907563025210083,0.03562845591089379,0.18067226890756302,43,93,238,618,59868
4,4000,0.04030785222953101,0.014232209737827716,0.027543925175725202,0.003508771929824561,0.0010526315789473684,0.0049397760633974365,0.030650635023806945,0.010773480662983427,0.02161189709376073,0.212707182320442,77,164,362,864,59868
5,5000,0.06353667305848514,0.016778523489932886,0.05025087202087961,0.004347826086956522,0.0008695652173913044,0.001541211189426502,0.04705551712210308,0.012348668280871673,0.03668764927120139,0.2324455205811138,96,208,413,1149,59868
6,6000,0.03692396659456861,0.011643835616438357,0.027817106309429955,0.0,0.0,0.0,0.028298683059354422,0.008923884514435697,0.021319147092791462,0.18110236220472442,69,138,381,1380,59868
7,7000,0.05915138439410284,0.01326860841423948,0.03266667897341542,0.0037453183520599247,0.0011235955056179776,0.0015872693579756065,0.04676158570630932,0.01055276381909548,0.02571676074282712,0.1708542713567839,68,144,398,1605,59868
8,8000,0.06765790120422707,0.014057507987220448,0.04093064093286396,0.0,0.0,0.0,0.05334237550862236,0.011083123425692697,0.03227025343069627,0.1385390428211587,55,131,397,1826,59868
9,9000,0.04852695464150572,0.011403508771929825,0.025478841735518985,0.027777777777777776,0.003333333333333334,0.01336935571941475,0.0442042094615624,0.009722222222222222,0.022956032148830602,0.1550925925925926,67,151,432,2054,59868
10,10000,0.036498223998224,0.008516483516483517,0.0216316484131889,0.012944983818770225,0.0019417475728155341,0.004123464075245977,0.03130339800575346,0.007066381156316916,0.017770100261565516,0.17130620985010706,80,174,467,2301,59868
11,11000,0.048399580217762035,0.010743801652892562,0.03288602929578799,0.007716049382716049,0.001851851851851852,0.005986277896359298,0.03907087251036295,0.008704883227176222,0.026717933433498604,0.18895966029723993,89,185,471,2569,59868
12,12000,0.059431605050161755,0.01211340206185567,0.035653726940237725,0.014336917562724014,0.002150537634408602,0.004850718819550286,0.05071267378959686,0.010187110187110188,0.029698051773452007,0.13721413721413722,66,144,481,2797,59868
13,13000,0.05334090987685759,0.01111111111111111,0.029380410069126228,0.012987012987012988,0.0012987012987012987,0.005024062431617423,0.04651178886473004,0.009450549450549453,0.025258566622778585,0.12967032967032968,59,136,455,3018,59868
14,14000,0.057639695444573494,0.012466124661246612,0.0365303215475876,0.028619528619528618,0.00404040404040404,0.022471656368859113,0.05150081400081401,0.010683760683760684,0.03355637314439503,0.1517094017094017,71,157,468,3227,59868
15,15000,0.04527426699008468,0.011796246648793567,0.030797698586897272,0.018518518518518517,0.0027777777777777783,0.0121802303406086,0.039266739266739265,0.009771309771309772,0.02661747702640002,0.158004158004158,76,166,481,3465,59868
16,16000,0.05719895287958115,0.011780104712041885,0.031428612820829246,0.021739130434782608,0.003260869565217392,0.010217236479619788,0.050316455696202536,0.010126582278481015,0.027311636822113485,0.12658227848101267,60,129,474,3689,59868
17,17000,0.045134285563973066,0.009895833333333333,0.029048049901742545,0.040229885057471264,0.008045977011494254,0.02527924997215288,0.04422837719016062,0.009554140127388535,0.02835190214404764,0.1316348195329087,62,142,471,3909,59868
18,18000,0.04094754653130288,0.008121827411167513,0.0267786214894855,0.015625,0.0020833333333333333,0.016803616591306858,0.035986394557823126,0.0069387755102040816,0.024824334815556626,0.12244897959183673,60,151,490,4129,59868
19,19000,0.040587219343696024,0.008031088082901556,0.0235646600318497,0.04411764705882353,0.00784313725490196,0.028804866465908033,0.041325136612021855,0.007991803278688526,0.024659949081591397,0.12704918032786885,62,151,488,4336,59868
20,20000,0.04303889494729189,0.009160305343511449,0.027207804270917565,0.013468013468013467,0.0030303030303030307,0.008345028954589752,0.03708865660085172,0.007926829268292683,0.023412245823119897,0.1402439024390244,69,147,492,4556,59868
21,21000,0.05205332632773266,0.012137203166226912,0.03499239832993659,0.039603960396039604,0.0039603960396039604,0.028910837424646986,0.04943377224627224,0.010416666666666666,0.03371273655611524,0.12083333333333333,58,141,480,480,59868
22,22000,0.049801587301587305,0.009852216748768473,0.03302870248468056,0.008960573476702509,0.002150537634408602,0.0038578610679720475,0.04218993542640837,0.00841683366733467,0.027592052681566552,0.13026052104208416,65,138,499,843,59868
23,23000,0.036525974025974024,0.007416267942583732,0.02608093664611227,0.0,0.0,0.0,0.02964632454923717,0.006019417475728156,0.02116860488946588,0.11067961165048544,57,136,515,1186,59868
24,24000,0.03860082304526749,0.007901234567901235,0.020834251895703704,0.00326797385620915,0.000980392156862745,0.0013849703221551861,0.031492439184746875,0.006508875739644971,0.016921378679723532,0.14201183431952663,72,152,507,1485,59868
25,25000,0.0368735335325197,0.007603686635944701,0.021048697886950338,0.027777777777777776,0.005208333333333333,0.011002159690796423,0.035226000414679666,0.007169811320754718,0.019228947572175286,0.11886792452830189,63,140,530,1775,59868
26,26000,0.05703124999999999,0.009598214285714285,0.030029218641089466,0.03125,0.0037500000000000007,0.02094897041940537,0.053125,0.008712121212121213,0.028653423455985816,0.09090909090909091,48,121,528,2041,59868
27,27000,0.047370736739895614,0.008878504672897197,0.023625120986513922,0.016025641025641024,0.0038461538461538464,0.008312274141709226,0.04124312404387593,0.007894736842105263,0.020631632129634807,0.13533834586466165,72,151,532,2331,59868
28,28000,0.05327313769751693,0.009706546275395033,0.03160614772814022,0.044753086419753084,0.008333333333333335,0.026652389610993872,0.05160314579552328,0.00943738656987296,0.030635175175233127,0.1306715063520871,72,138,551,2614,59868
29,29000,0.04476190476190476,0.008192771084337351,0.027688656807300826,0.020249221183800622,0.003738317757009346,0.01012732518324883,0.039737274220032835,0.007279693486590038,0.02408892024834764,0.13218390804597702,69,162,522,2883,59868
30,30000,0.0414856429463171,0.007640449438202248,0.0259474656383394,0.010101010101010102,0.00101010101010101,0.006373027813853106,0.03577410130718955,0.006433823529411765,0.02238520581366267,0.10110294117647059,55,140,544,3150,59868
31,31000,0.03825272261370916,0.006726457399103139,0.018949924627140402,0.03459119496855346,0.005660377358490566,0.0199118728222847,0.03754960317460318,0.006521739130434784,0.01913464656316449,0.1322463768115942,73,148,552,3421,59868
32,32000,0.04197802197802197,0.007472527472527473,0.02658849199352523,0.03333333333333333,0.006315789473684211,0.020850384362245917,0.040484848484848485,0.007272727272727273,0.025597364311758804,0.09636363636363636,53,142,550,3684,59868
33,33000,0.04687765731292517,0.008035714285714287,0.022929014891338972,0.05921052631578947,0.006578947368421052,0.026085410920199458,0.048666394038531444,0.007824427480916031,0.023386812788654617,0.09351145038167939,49,103,524,3896,59868
34,34000,0.03297430083144368,0.006802721088435374,0.022822281459263214,0.07429718875502007,0.010843373493975903,0.05204095702358814,0.03951972010178117,0.007442748091603054,0.027450430451322314,0.1183206106870229,62,120,524,4134,59868
35,35000,0.029087997491545163,0.004878048780487805,0.01647167585013201,0.06560283687943262,0.00851063829787234,0.028963761295251248,0.03538596978963952,0.005504587155963304,0.01862627407369386,0.11376146788990826,62,136,545,4371,59868
36,36000,0.024458789775691183,0.00563380281690141,0.014548995995869755,0.02127659574468085,0.003191489361702128,0.009700360004632287,0.02388354700854701,0.005192307692307692,0.013672511797453749,0.10576923076923077,55,143,520,4593,59868
37,37000,0.037406576980568006,0.007174887892376682,0.021563581179147504,0.02830188679245283,0.0037735849056603774,0.016877970059602714,0.035658212560386475,0.006521739130434784,0.02066380802937984,0.10869565217391304,60,134,552,4833,59868
38,38000,0.03287671232876713,0.006164383561643836,0.020084786572751357,0.022222222222222223,0.003333333333333334,0.015229618782236873,0.03106060606060606,0.005681818181818182,0.01925720115391366,0.10227272727272728,54,125,528,5071,59868
39,39000,0.030123193556029375,0.005543710021321962,0.016811230376720852,0.006666666666666667,0.0013333333333333335,0.00236319049045397,0.026889297385620913,0.004963235294117648,0.014819313112989204,0.09926470588235294,54,104,544,5274,59868
40,40000,0.036544011544011545,0.006493506493506494,0.020786703257651206,0.006493506493506494,0.0012987012987012987,0.003981475277697781,0.03225108225108225,0.005751391465677181,0.018385956403372143,0.08163265306122448,44,108,539,5464,59868
41,41000,0.04262008961133687,0.008533916849015319,0.021835335612196836,0.013333333333333334,0.004000000000000001,0.011806131754286499,0.03849131757966344,0.007894736842105263,0.02042144409087489,0.08646616541353383,46,104,532,532,59868
42,42000,0.04913669855933136,0.008083140877598153,0.024838971159158823,0.015957446808510637,0.002127659574468085,0.012961781242746427,0.043218577753682125,0.007020872865275142,0.02272045910575699,0.11385199240986717,60,138,527,935,59868
43,43000,0.045686963309914126,0.008899297423887587,0.026664208771491837,0.039603960396039604,0.006930693069306932,0.02341660050572239,0.04452335858585858,0.008522727272727272,0.026042980675198817,0.13257575757575757,70,148,528,1320,59868
44,44000,0.041600385635092794,0.008459869848156183,0.02618886125177476,0.030120481927710843,0.0036144578313253017,0.01892206079641722,0.039848856209150324,0.007720588235294118,0.02508013985876984,0.09558823529411764,52,110,544,1675,59868
45,45000,0.026719726352079295,0.005656108597285068,0.013841773603190733,0.0032362459546925564,0.0009708737864077671,0.0015187013787144221,0.02228156400174749,0.0047706422018348625,0.01151282600847319,0.10642201834862386,58,140,545,1997,59868
46,46000,0.02982832618025751,0.006008583690987124,0.015749124155553382,0.07450980392156863,0.009411764705882354,0.03865875096147395,0.036721113127646705,0.006533575317604357,0.019283277111094666,0.09437386569872959,52,118,551,2317,59868
47,47000,0.03010168126447196,0.005496828752642707,0.015696764809417545,0.013745704467353952,0.002061855670103093,0.008207030009957374,0.02731829573934837,0.004912280701754385,0.014422195904948008,0.10526315789473684,60,129,570,2623,59868
48,48000,0.03999192897497982,0.007203389830508475,0.02126357898618649,0.020833333333333332,0.0020833333333333333,0.010044407155258237,0.036753856472166335,0.006338028169014085,0.01936738093025495,0.09683098591549295,55,128,568,2922,59868
49,49000,0.041069732736399404,0.006623931623931625,0.021088150682206774,0.018292682926829267,0.0036585365853658543,0.007577933785559714,0.03767388167388168,0.006181818181818182,0.019073900163070305,0.09090909090909091,50,114,550,3202,59868
50,50000,0.03594797318863708,0.005809128630705394,0.018238427935832104,0.013333333333333332,0.002,0.0055010423979710696,0.03206229623755397,0.005154639175257732,0.016049873719704778,0.10652920962199312,62,132,582,3488,59868
51,51000,0.02458677685950413,0.0043388429752066115,0.015295635453260143,0.017006802721088433,0.0030612244897959186,0.006227064077812347,0.02331042382588774,0.0041237113402061865,0.01376862515292701,0.09278350515463918,54,128,582,3749,59868
52,52000,0.032409381663113,0.005756929637526653,0.017140782877300947,0.0038314176245210726,0.0011494252873563218,0.003403240355929485,0.027937649880095918,0.005035971223021583,0.014991203382050379,0.09532374100719425,53,121,556,4007,59868
53,53000,0.02872917282855171,0.0055900621118012426,0.018847037758651635,0.014056224899598391,0.0036144578313253017,0.00914556324525518,0.02657748611812216,0.00530035335689046,0.017424383368877947,0.07773851590106007,44,113,566,4245,59868
54,54000,0.02788354147629201,0.0061833688699360345,0.016796825029879156,0.05707762557077626,0.008219178082191782,0.032088732841121854,0.031815586013002974,0.006457564575645757,0.018856436229548374,0.09040590405904059,49,105,542,4483,59868
55,55000,0.03896098788736826,0.008588957055214725,0.022211147421682686,0.032196969696969696,0.004545454545454546,0.024475618440935508,0.037929387192818735,0.007972270363951473,0.02255650868631743,0.10398613518197573,60,114,577,4734,59868
56,56000,0.02765326778484673,0.006072874493927126,0.015473032114995117,0.03405017921146953,0.005376344086021506,0.02166847921193148,0.028666747789405363,0.00596252129471891,0.016454593580097474,0.09540034071550256,56,130,587,4990,59868
57,57000,0.027443991853360487,0.00529531568228106,0.014606862579069001,0.03413654618473895,0.004819277108433735,0.014573732608634577,0.02841173054587689,0.005226480836236934,0.014602072008431272,0.08885017421602788,51,114,574,5221,59868
58,58000,0.0344599072233267,0.005964214711729623,0.01792541440717372,0.012578616352201257,0.0028301886792452833,0.008755337421024991,0.030651340996168577,0.005418719211822661,0.01632930905326278,0.11330049261083744,69,143,609,5472,59868
59,59000,0.03443298969072166,0.005567010309278351,0.021805501902510373,0.006289308176100628,0.0018867924528301887,0.005006804471483429,0.029385222786238015,0.00490693739424704,0.018792537557859177,0.11505922165820642,68,144,591,5719,59868
60,60000,0.029514563106796118,0.004854368932038835,0.01430152600268492,0.015463917525773196,0.002061855670103093,0.007599976420302023,0.027287581699346405,0.004411764705882353,0.013239352294366064,0.09803921568627451,60,139,612,5953,59868
61,61000,0.031081926203877425,0.004690431519699813,0.01627993022170895,0.004310344827586207,0.0008620689655172415,0.0020448078687008296,0.026296866974833077,0.004006163328197226,0.013735594023020289,0.10323574730354391,67,149,649,649,59868
62,62000,0.026367187499999997,0.00546875,0.013693838221409935,0.022727272727272728,0.002272727272727273,0.012851474472402926,0.02583333333333333,0.005,0.013570291538222241,0.08666666666666667,52,115,600,1116,59868
