batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained,n_first_time_new_user_interactions,n_untrained_users_active,pct_untrained_users,window_unique_untrained_users
1,1000,0.031343027751333,0.0214953271028037,0.0315762145875414,0.0075757575757575,0.0022727272727272,0.0067291343401333,0.0244174655809666,0.0158940397350993,0.0243360057737271,0.2913907284768212,44,120,151,151,59868,120,44,0.2913907284768212,44
2,2000,0.0245300759713737,0.0141666666666666,0.0268415653595374,0.0,0.0,0.0,0.017214088400964,0.0099415204678362,0.0188361862172192,0.2923976608187134,50,127,171,321,59868,126,51,0.2982456140350877,94
3,3000,0.0428925641331656,0.0233082706766917,0.0390166279637296,0.0046948356807511,0.0014084507042253,0.0019105911751048,0.02959825668159,0.0156862745098039,0.0261022720225906,0.3480392156862745,71,194,204,524,59868,194,71,0.3480392156862745,165
4,4000,0.0360683613339433,0.0228813559322033,0.0299596395700798,0.032520325203252,0.0073170731707317,0.0198842570552684,0.0351534589354631,0.0188679245283018,0.0273615849593423,0.2578616352201258,41,101,159,682,59868,101,41,0.2578616352201258,206
5,5000,0.0368791735302973,0.0195121951219512,0.0326011114442345,0.0,0.0,0.0,0.0250615378134065,0.0132596685082872,0.0221543464510544,0.3204419889502762,58,153,181,862,59868,153,58,0.32044198895027626,264
6,6000,0.0301884824415855,0.018348623853211,0.0304951978539643,0.0,0.0,0.0,0.0204381651312597,0.0124223602484472,0.0206458171806342,0.3229813664596273,52,131,161,1022,59868,131,52,0.32298136645962733,316
7,7000,0.0298667524017892,0.0182608695652173,0.0252623050941632,0.0261437908496732,0.0058823529411764,0.0190574170997423,0.0287229509610788,0.0144578313253012,0.023355984083829,0.3072289156626506,51,140,166,1188,59868,140,51,0.3072289156626506,367
8,8000,0.0263190052663736,0.0207207207207207,0.022912032633284,0.0,0.0,0.0,0.018847803771403,0.0148387096774193,0.0164079717567389,0.2838709677419355,44,115,155,1342,59868,115,44,0.2838709677419355,411
9,9000,0.031478659822958,0.0166666666666666,0.0303641802689259,0.0070422535211267,0.0014084507042253,0.0024963279828739,0.0226716301405721,0.0111675126903553,0.0203204365516178,0.3604060913705584,71,193,197,1538,59868,193,71,0.3604060913705584,482
10,10000,0.0436779443110128,0.0264150943396226,0.0411578664021232,0.0220588235294117,0.0058823529411764,0.0220383393284844,0.0352290925113066,0.0183908045977011,0.0336858673158736,0.3908045977011494,68,175,174,1712,59868,175,68,0.39080459770114945,550
11,11000,0.0311916846073822,0.023076923076923,0.0295788230647009,0.0,0.0,0.0,0.0228446140786461,0.0169014084507042,0.0216633633713302,0.2676056338028169,38,105,142,1854,59868,105,38,0.2676056338028169,588
12,12000,0.03269442165436,0.019090909090909,0.0310411914533196,0.0,0.0,0.0,0.0241368213555678,0.0140939597315436,0.0229163158380212,0.261744966442953,39,101,149,2002,59868,101,39,0.26174496644295303,627
13,13000,0.0199248436748436,0.0141666666666666,0.017122429317983,0.0068493150684931,0.0013698630136986,0.0083992766132254,0.0149791774144105,0.0093264248704663,0.0138229985021939,0.3782383419689119,73,190,193,2194,59868,190,73,0.37823834196891193,700
14,14000,0.0427362147656265,0.0224,0.0311710188614354,0.0,0.0,0.0,0.0273950094651452,0.0143589743589743,0.019981422347074,0.358974358974359,70,185,195,2388,59868,185,70,0.358974358974359,770
15,15000,0.0222611536886797,0.0156521739130434,0.0247805749015777,0.0251572327044025,0.0056603773584905,0.0149687273834636,0.023174797663878,0.0125,0.0216851706250298,0.3154761904761904,53,139,168,2555,59868,139,53,0.31547619047619047,823
