batch,interactions,recall_existing,precision_existing,ndcg_existing,hr_existing,mrr_existing,recall_new_content,precision_new_content,ndcg_new_content,hr_new_content,mrr_new_content,recall_overall_content,precision_overall_content,ndcg_overall_content,hr_overall_content,mrr_overall_content,n_new_users,pct_new_users,n_users_trained,id_resolution_emissions_mg,recovered_history_seed_emissions_mg,expand_embeddings_emissions_mg,gt_split_emissions_mg,scoring_emissions_mg,history_update_emissions_mg,apply_content_seeds_emissions_mg,batch_emissions_mg,update_emissions_mg,updated
1,1000,0.03134302775133304,0.02149532710280374,0.03157621458754149,0.1588785046728972,0.0646417445482866,0.0,0.0,0.0,0.0,0.0,0.02220996006220288,0.015231788079470197,0.02237519841633735,0.11258278145695365,0.045805739514348784,44,0.2913907284768212,59868,11.703113387655716,17.794444889938,126.38267441918947,11.660389487157513,12.304150059468252,11.667604210559334,11.656878706450781,203.16925516041908,0.0,False
2,2000,0.024530075971373796,0.014166666666666668,0.026841565359537446,0.14166666666666666,0.07045965608465607,0.0065359477124183,0.00196078431372549,0.0030671812158350096,0.0196078431372549,0.0028011204481792717,0.01916340613975549,0.010526315789473686,0.019750959562292857,0.10526315789473684,0.050280794579040194,50,0.29239766081871343,59868,11.771271424157286,22.823774823304415,133.9502396708075,11.659125666001387,12.417122257016603,11.664102615960314,11.676277286999746,215.96191374424725,0.0,False
3,3000,0.04289256413316564,0.023308270676691726,0.039016627963729636,0.18045112781954886,0.0716374269005848,0.011737089201877934,0.0028169014084507044,0.006894483303987831,0.028169014084507043,0.008802816901408451,0.03204923707374687,0.016176470588235292,0.02783686193019205,0.12745098039215685,0.04976851851851851,71,0.3480392156862745,59868,11.703002540244118,27.601228193491917,124.00389318987116,11.662250641242853,12.562528845481111,11.664601501579762,11.654343265066052,210.85184817697694,0.0,False
4,4000,0.036068361333943304,0.02288135593220339,0.02995963957007984,0.19491525423728814,0.05317460317460317,0.03252032520325203,0.007317073170731709,0.01627220621868786,0.07317073170731707,0.01524390243902439,0.035153458935463164,0.01886792452830189,0.026430175624123413,0.16352201257861634,0.04339373065788161,41,0.2578616352201258,59868,11.710738020774656,19.226476868596812,124.14618921445238,11.663219429155049,12.359694000535406,11.664376782596648,11.654678594901023,202.42537291101198,0.0,False
5,5000,0.03687917353029739,0.019512195121951223,0.03260111144423458,0.18699186991869918,0.06525680732997806,0.005747126436781609,0.001724137931034483,0.008091012517633733,0.017241379310344827,0.017241379310344827,0.026903158439557526,0.013812154696132596,0.024747046594826575,0.13259668508287292,0.04987064807506797,58,0.32044198895027626,59868,11.699015226647631,21.225463934713712,124.1254659591685,11.670077452514104,12.346006825896504,11.65737496390258,11.650424970989373,204.37382933383242,0.0,False
6,6000,0.030188482441585514,0.01834862385321101,0.030495197853964335,0.1651376146788991,0.06785714285714285,0.03205128205128205,0.007692307692307693,0.02340269563179557,0.07692307692307693,0.03434065934065934,0.030790132004965765,0.014906832298136647,0.028204451794630322,0.13664596273291926,0.057031943212067435,52,0.32298136645962733,59868,11.706005633432088,19.33920322425486,124.1219481631895,11.658379257521982,12.352704275575338,11.662440120081179,11.65702672209436,202.49770739614934,0.0,False
7,7000,0.029866752401789227,0.018260869565217393,0.025262305094163204,0.1565217391304348,0.042363699102829534,0.00980392156862745,0.00196078431372549,0.0042824987611404745,0.0196078431372549,0.00326797385620915,0.023702870639793747,0.013253012048192769,0.018816701943656217,0.1144578313253012,0.03035236182826544,51,0.3072289156626506,59868,11.7371164621927,18.971225031264243,123.43450941937708,11.653793521858606,12.380110144544297,11.656140851199924,11.660092780326316,201.49298821076317,0.0,False
8,8000,0.02631900526637369,0.020720720720720724,0.02291203263328408,0.1891891891891892,0.04601387101387101,0.026515151515151512,0.00681818181818182,0.023861225051758736,0.06818181818181818,0.03598484848484848,0.026374685491833198,0.016774193548387096,0.02318148080368979,0.15483870967741936,0.04316692268305172,44,0.2838709677419355,59868,11.716895983744603,18.35251118122985,123.46673145177505,11.661023191344729,12.390098079591251,11.686264236588674,11.657263905654261,200.9307880299284,0.0,False
9,9000,0.03147865982295807,0.016666666666666666,0.030364180268925924,0.15079365079365079,0.061309523809523814,0.023474178403755867,0.007042253521126761,0.021503064485231146,0.07042253521126761,0.0386317907444668,0.02859379596121514,0.013197969543147208,0.027170580164142526,0.1218274111675127,0.05313633067440173,71,0.3604060913705584,59868,11.745344849960292,21.856579066415698,124.02410141763116,11.658513844770013,12.623327165165419,11.664725298090023,11.65880302470869,205.23139466674127,0.0,False
10,10000,0.04367794431101283,0.026415094339622643,0.04115786640212327,0.2169811320754717,0.080641659179395,0.024509803921568624,0.0058823529411764705,0.0148090246335896,0.058823529411764705,0.01764705882352941,0.03618694691743694,0.01839080459770115,0.03086061789488023,0.15517241379310345,0.05602307972997628,68,0.39080459770114945,59868,11.745799232226913,21.00922963685879,123.67622895822008,11.661686879448334,12.480179061566833,11.657819937485083,11.674914708789327,203.90585841459534,0.0,False
11,11000,0.031191684607382284,0.02307692307692308,0.029578823064700957,0.20192307692307693,0.06521672771672772,0.008771929824561403,0.002631578947368421,0.0038958146179719107,0.02631578947368421,0.003289473684210526,0.025192031919021765,0.017605633802816902,0.02270590531135093,0.15492957746478872,0.048644645651687905,38,0.2676056338028169,59868,11.736668673921827,17.432543186713875,123.60062501806614,11.657975972806899,12.229215144344934,11.67118768737865,11.655945407812972,199.9841610910453,0.0,False
12,12000,0.03269442165436001,0.019090909090909092,0.03104119145331965,0.16363636363636364,0.05704184704184703,0.02564102564102564,0.005128205128205128,0.021321913579067247,0.05128205128205128,0.029914529914529916,0.030848230751540955,0.015436241610738253,0.028497219392273718,0.1342281879194631,0.049941408330670074,39,0.26174496644295303,59868,11.69099147746086,17.390645031938828,123.66219713744664,11.658839500207092,12.29948037150333,11.66752931025094,11.657202820499098,200.02688564930676,0.0,False
13,13000,0.019924843674843675,0.014166666666666666,0.017122429317983096,0.11666666666666667,0.03271825396825397,0.0319634703196347,0.00821917808219178,0.016031819772309934,0.0821917808219178,0.015449010654490107,0.0244783138565522,0.011917098445595856,0.016709918971692213,0.10362694300518134,0.026186364010198207,73,0.37823834196891193,59868,11.786064523041599,21.865483347904487,123.75590027846823,11.660917016970748,12.464421959665785,11.654179470705055,11.658497975785068,204.845464572541,0.0,False
14,14000,0.04273621476562653,0.022400000000000003,0.031171018861435473,0.208,0.05678730158730159,0.028571428571428567,0.008571428571428572,0.026382805225650185,0.08571428571428572,0.048072562358276644,0.03765141972155547,0.01743589743589744,0.029452172940897168,0.1641025641025641,0.05365893365893365,70,0.358974358974359,59868,11.724166755050156,21.456628825223657,123.59558812564995,11.66240866941337,12.654983817507892,11.660760367674783,11.657943320526714,204.41247988104652,0.0,False
15,15000,0.02226115368867976,0.01565217391304348,0.024780574901577732,0.12173913043478261,0.0513768115942029,0.025157232704402514,0.007547169811320755,0.013965307777817815,0.07547169811320754,0.016561844863731655,0.02317479766387801,0.013095238095238096,0.021368615630391566,0.10714285714285714,0.040393518518518516,53,0.31547619047619047,59868,11.737966306781498,19.03390004606709,124.16195923701211,11.65547536101418,12.429012029064376,11.657160638109572,11.664832657422384,202.3403062754712,0.0,False
16,16000,0.02450090971830102,0.011304347826086957,0.021379889018805196,0.10434782608695652,0.04183574879227053,0.03968253968253968,0.009523809523809525,0.0401209863365907,0.09523809523809523,0.06746031746031746,0.028562237479434927,0.010828025477707007,0.02639343097642934,0.10191082802547771,0.04869072894550602,42,0.267515923566879,59868,11.739624561094443,18.043489094949575,124.33614102772906,11.660244303103497,12.431221425931223,11.662096317849487,11.659826555002194,201.53264328565947,459.67162419607115,True
17,17000,0.03469898837545897,0.02254901960784314,0.033029207621519736,0.21568627450980393,0.07521008403361344,0.016025641025641024,0.0038461538461538464,0.020815883053619515,0.038461538461538464,0.038461538461538464,0.02839370225733862,0.016233766233766232,0.028905227897293686,0.15584415584415584,0.06280148423005566,52,0.33766233766233766,59868,11.698763329717234,23.094630703103004,132.73660784139142,11.658404056875959,12.262919036908938,11.66329850229176,11.656407159941692,214.77103063022997,0.0,False
18,18000,0.03104960502742147,0.02148760330578512,0.03552083514994651,0.18181818181818182,0.08677357995539814,0.03216374269005848,0.007017543859649123,0.018935975328826484,0.07017543859649122,0.02063492063492063,0.03140637944747939,0.016853932584269662,0.03020995307239684,0.14606741573033707,0.06559434635277332,57,0.3202247191011236,59868,11.689235018791377,20.413682208460237,126.49806041564217,11.660622803069675,12.36818308939392,11.663327195004895,11.656019756455665,205.94913048681792,0.0,False
19,19000,0.03639151619622208,0.0256,0.03488104142430707,0.216,0.07907301587301586,0.025423728813559324,0.006779661016949153,0.024204504519129644,0.05084745762711865,0.036016949152542374,0.03287467132895522,0.01956521739130435,0.031457586655799084,0.16304347826086957,0.065266994478951,59,0.32065217391304346,59868,11.694008551713617,20.06404173158713,125.96106050031825,11.659236787199024,12.453281933096603,11.660500599323422,11.656778145194627,205.1489082484327,0.0,False
20,20000,0.0506812808029028,0.024603174603174606,0.04070937509626139,0.20634920634920634,0.07206475182665659,0.018518518518518517,0.003703703703703704,0.007810618695349341,0.037037037037037035,0.005761316872427984,0.04103245211758751,0.018333333333333333,0.030839748175987777,0.15555555555555556,0.052173721340388,54,0.3,59868,11.686044651710615,19.398334433598333,129.75051000974764,11.653297764316166,12.442065734943192,11.657621568145899,11.668502320105919,208.25637648256776,0.0,False
21,21000,0.03272981401692125,0.021428571428571432,0.02863525366604768,0.19642857142857142,0.059658446712018136,0.020833333333333332,0.0058823529411764705,0.02048438823161794,0.058823529411764705,0.03970588235294118,0.02823558798089915,0.01555555555555556,0.025556037835263112,0.14444444444444443,0.052120811287477954,68,0.37777777777777777,59868,11.689468023618616,22.18583070876575,126.49495259813969,11.661123631694775,12.460683624340025,11.662752836305405,11.664720523752413,207.81953194661668,0.0,False
22,22000,0.036439471275536844,0.021311475409836068,0.029954893129065508,0.18032786885245902,0.05618982565703877,0.011904761904761904,0.0035714285714285718,0.0049449811837906565,0.03571428571428571,0.00376984126984127,0.028720686304955962,0.015730337078651683,0.022086606224934094,0.1348314606741573,0.039698145175673265,56,0.3146067415730337,59868,11.73288534673557,19.62181732457699,125.81434054888003,11.65964749724746,12.408642881254519,11.660152301498812,11.658907212685511,204.55639311287885,0.0,False
23,23000,0.049545042474410356,0.024528301886792454,0.03663427025868929,0.19811320754716982,0.05691449535789159,0.022727272727272728,0.00681818181818182,0.012083865784564385,0.045454545454545456,0.010227272727272727,0.04167849668191665,0.019333333333333334,0.02943281827961265,0.15333333333333332,0.04321957671957672,44,0.29333333333333333,59868,11.705404897745415,18.03822827170596,123.95500574434882,11.675629704735456,12.340204832587096,11.664766585968954,11.658591108154939,201.03783114524666,0.0,False
24,24000,0.03999407669615812,0.024561403508771933,0.040086056648939855,0.21929824561403508,0.08743386243386243,0.018018018018018018,0.005405405405405406,0.0253664176228517,0.05405405405405406,0.05405405405405406,0.0346092146359516,0.019867549668874173,0.036479257682282495,0.17880794701986755,0.07925470408914118,37,0.24503311258278146,59868,11.698051591430003,16.988795538302668,125.74164426612002,11.669256774936992,12.399229793819133,11.658945140397698,11.65988747194209,201.8158105769486,0.0,False
25,25000,0.04211385982438614,0.025454545454545455,0.03999868288151804,0.22727272727272727,0.0791017316017316,0.05072463768115942,0.013043478260869568,0.034322743973316146,0.10869565217391304,0.04184782608695652,0.04465293534625518,0.021794871794871797,0.038325008588073896,0.19230769230769232,0.06811660561660562,46,0.2948717948717949,59868,11.69015460173936,19.512457803957243,124.45061937973404,11.665483739638736,12.29238137768953,11.659812509342595,11.658469590749426,202.92937900285096,0.0,False
26,26000,0.02363107702090753,0.011864406779661017,0.014912673408723452,0.11016949152542373,0.020217917675544792,0.029569892473118278,0.008064516129032258,0.02346152503009132,0.08064516129032258,0.036962365591397844,0.025676669010002342,0.010555555555555556,0.017857277856083497,0.1,0.025985449735449733,62,0.34444444444444444,59868,11.699316642317832,20.041028993575924,124.56390384521163,11.659539387697503,12.482539593201142,11.663225081475458,11.659286761874464,203.76884030535393,0.0,False
27,27000,0.033690805243561404,0.02553191489361702,0.033102552602885374,0.20212765957446807,0.07023809523809524,0.04166666666666666,0.011111111111111112,0.022136330408991687,0.1111111111111111,0.02526455026455026,0.03589950532995979,0.021538461538461538,0.030065752610730197,0.17692307692307693,0.057783882783882794,36,0.27692307692307694,59868,11.717750543079573,17.22402141025002,124.45670705036552,11.686277896628788,12.212603017730528,11.683674144268366,11.698958783161462,200.67999284548424,0.0,False
28,28000,0.029842792600229668,0.017543859649122806,0.030464886456047564,0.14912280701754385,0.07051308827624618,0.013888888888888886,0.0035714285714285718,0.006323639566074598,0.03571428571428571,0.005654761904761905,0.02307446981360025,0.011616161616161615,0.02022314535121055,0.10101010101010101,0.04299743466410134,84,0.42424242424242425,59868,11.708583651479607,25.627428676492162,126.72533349532972,11.667456446902772,12.686229703067799,11.680933927493523,11.907556244177691,212.0035221449433,0.0,False
29,29000,0.01501068376068376,0.00859375,0.012858221314077704,0.0859375,0.0251953125,0.025423728813559317,0.006779661016949153,0.010625994702879794,0.06779661016949153,0.008286252354048965,0.018296083001965353,0.008021390374331552,0.012153935912683711,0.08021390374331551,0.019860368389780152,59,0.3155080213903743,59868,11.699700648667989,20.046504541176326,126.76867311283476,11.661946251546352,12.476383660504387,11.659493078077302,11.67136428574956,205.98406557855665,0.0,False
