batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,id_resolution_emissions_mg,expand_embeddings_emissions_mg,scoring_emissions_mg,update_prep_emissions_mg,history_update_emissions_mg,batch_emissions_mg,update_emissions_mg,updated
1,1000,incremental,0.021533713200379865,0.0029914529914529917,0.011293714022930128,0.029914529914529916,0.03048772215438882,0.002136752136752137,0.013678020364925828,0.042735042735042736,0.01036033450563365,11.730842730889355,133.75689935130404,19.70675175207024,11.661133188958718,11.677631781605198,188.53325880482754,0.0,False
2,2000,incremental,0.013639502762430939,0.0016574585635359118,0.006838365109454622,0.016574585635359115,0.036705801104972374,0.0022099447513812156,0.012894513738935465,0.04419889502762431,0.006995551008591307,11.855496031041831,144.84387763916357,19.61564453085182,11.656005191373453,11.66376359014302,199.6347869825737,0.0,False
3,3000,incremental,0.023994969778102306,0.0032128514056224897,0.014299122959332125,0.030789825970548863,0.03884223763741836,0.0024765729585006693,0.018020306857738557,0.04685408299866131,0.01377863718480054,11.783278004681252,136.60446357100267,19.659953885378233,11.657368678522051,11.665001423443725,191.37006556302794,0.0,False
4,4000,incremental,0.013730506822612086,0.0020833333333333333,0.005608771148566481,0.020833333333333332,0.027735136452241713,0.0020833333333333333,0.009262717916398152,0.04027777777777778,0.0060195923286093566,11.82569611825248,135.83224524116756,22.07524913536672,11.653158859221275,11.659148915895909,193.04549826990393,0.0,False
5,5000,incremental,0.016843155310006137,0.0020718232044198894,0.011014691321305581,0.020718232044198894,0.025974524248004914,0.0017265193370165745,0.013590255004594827,0.03314917127071823,0.010710000558066856,11.709615534159171,144.49899424954106,19.900316710376455,11.657534397167563,11.668565049299936,199.43502594054416,0.0,False
6,6000,incremental,0.02131782945736434,0.0031976744186046516,0.011704173300952537,0.030523255813953487,0.03766957364341085,0.0027616279069767446,0.016178418134672332,0.05377906976744186,0.011902010059893548,11.735311092146315,143.71972861957119,19.582537403815,11.654257899752166,11.659494373162435,198.35132938844708,0.0,False
7,7000,incremental,0.01063049853372434,0.0017595307917888565,0.00570153037043285,0.017595307917888565,0.035606060606060606,0.002712609970674487,0.012561214693950622,0.051319648093841645,0.007220330406665445,11.714103604607008,144.56052521758508,19.726273188987783,11.65796777638289,11.665701987151897,199.32457177471466,0.0,False
8,8000,incremental,0.021543560606060604,0.00340909090909091,0.012576607987260114,0.029829545454545456,0.03935735192837465,0.0029829545454545456,0.017402884610944316,0.05539772727272727,0.013760891678430554,11.729252899773424,143.2764238943386,19.217407661313104,11.657564749306985,11.675421820710794,197.5560710254429,0.0,False
9,9000,incremental,0.01956435500739298,0.002531645569620253,0.010425906199879403,0.02531645569620253,0.03093331890800245,0.0020393811533052043,0.013595357785827985,0.040787623066104076,0.010752253684743135,11.740848101175327,144.11257602239976,19.404136211693608,11.656435953519024,11.665384412749574,198.5793807015373,0.0,False
10,10000,incremental,0.01189794945159752,0.0018597997138769672,0.006233169306186999,0.017167381974248927,0.028925676135976564,0.0022889842632331904,0.011036875127914758,0.04148783977110158,0.007511404795948838,11.744257677276815,146.19270170703305,19.278612605228876,11.656796691986333,11.664123116203202,200.53649179772827,0.0,False
