batch,interactions,recall_existing,precision_existing,ndcg_existing,hr_existing,mrr_existing,recall_new_content,precision_new_content,ndcg_new_content,hr_new_content,mrr_new_content,recall_overall_content,precision_overall_content,ndcg_overall_content,hr_overall_content,mrr_overall_content,n_new_users,pct_new_users,n_users_trained,id_resolution_emissions_mg,recovered_history_seed_emissions_mg,expand_embeddings_emissions_mg,gt_split_emissions_mg,scoring_emissions_mg,history_update_emissions_mg,apply_content_seeds_emissions_mg,batch_emissions_mg
1,1000,0.06152938674419779,0.028187919463087248,0.052189438253833605,0.24161073825503357,0.0910221583040375,0.028248587570621465,0.006779661016949153,0.012467034826069433,0.06779661016949153,0.010451977401129945,0.052089160055539124,0.022115384615384613,0.040922025743073576,0.19230769230769232,0.0681681166056166,59,0.28365384615384615,59868,11.713400639181446,23.751257859636986,136.48853987388358,11.660987884249481,12.513470727193356,11.66625317756975,11.656913530836668,219.4508236925513
2,2000,0.06441638029939352,0.020379146919431282,0.04428201662370539,0.1895734597156398,0.06312156774242082,0.028089887640449437,0.006741573033707866,0.020234101357768708,0.06741573033707865,0.03083645443196005,0.05363952081057344,0.016333333333333335,0.03714780176147751,0.15333333333333332,0.05354365079365079,82,0.2733333333333333,59868,11.716543833946348,29.781510388176265,140.96347333544313,11.660633068441562,12.924717907578641,11.664879946743172,11.656102506544023,230.36786098687315
3,3000,0.06217446850466171,0.02406417112299465,0.04534530752295573,0.20855614973262032,0.0766700619641796,0.0261437908496732,0.00392156862745098,0.011136719536170816,0.0392156862745098,0.009337068160597572,0.05445360900716418,0.019747899159663865,0.03801489581150182,0.1722689075630252,0.06224156329198346,43,0.18067226890756302,59868,11.762584508704798,20.719944977450446,135.46535836217117,11.660289790522883,12.648598625036563,11.688199417142888,11.65771382634134,215.6026895073701
4,4000,0.04030785222953101,0.014232209737827716,0.027543925175725202,0.12734082397003746,0.04232952856548362,0.003508771929824561,0.0010526315789473684,0.0014279155098152398,0.010526315789473684,0.0010526315789473684,0.030650635023806945,0.010773480662983427,0.020690276230251593,0.09668508287292818,0.031497193720950625,77,0.212707182320442,59868,11.7473894209086,27.729482416397186,136.92480173924972,11.679661085381866,13.334548558970429,11.66758617262946,11.657085414756201,224.74055480829347
5,5000,0.06353667305848514,0.016778523489932886,0.05025087202087961,0.14429530201342283,0.07430888462767657,0.0536231884057971,0.008695652173913044,0.034694671803202265,0.08695652173913043,0.0377536231884058,0.060776259656404936,0.014527845036319615,0.04591924242031571,0.12832929782082325,0.06413005880318229,96,0.2324455205811138,59868,11.734193186780598,31.726721097664587,136.46187615680688,11.668180384239715,13.333339275978977,11.67062890807479,11.686697427520585,228.28163643706614
6,6000,0.03692396659456861,0.011643835616438357,0.027817106309429955,0.10273972602739725,0.04327299412915851,0.04868913857677902,0.007865168539325841,0.038201676734331655,0.07865168539325842,0.045692883895131084,0.039672261362066585,0.010761154855643044,0.030242898350942425,0.09711286089238845,0.043838270216222976,69,0.18110236220472442,59868,11.753446361970152,25.753255347769727,136.38762582425372,11.670433350328578,13.236012208812106,11.677864750020158,11.658792635138408,222.13743047829283
7,7000,0.05915138439410284,0.01326860841423948,0.03266667897341542,0.13268608414239483,0.03766373863461242,0.018726591760299623,0.0044943820224719105,0.008920918219785925,0.033707865168539325,0.006741573033707865,0.050111669458403126,0.011306532663316583,0.027356697297352545,0.11055276381909548,0.030748983010289544,68,0.1708542713567839,59868,11.76000887737191,26.282820124728413,135.926073102534,11.672634143485666,13.474477689344976,11.683637475647535,11.658473548585873,222.45812496169836
8,8000,0.06765790120422707,0.014057507987220448,0.04093064093286396,0.12779552715654952,0.04932298798113495,0.03968253968253968,0.007142857142857143,0.025188146122837634,0.05952380952380952,0.02215608465608466,0.06173868113414713,0.012594458438287154,0.03759973522998686,0.11335012594458438,0.043574827076086516,55,0.1385390428211587,59868,11.733975588466881,23.400210059467895,137.41366596669224,11.666662249346093,13.276311644538733,11.669753996548533,11.66240583533795,220.82298534039833
9,9000,0.04852695464150572,0.011403508771929825,0.025478841735518985,0.10818713450292397,0.030321173303629444,0.04259259259259259,0.0077777777777777776,0.021475433936873782,0.07777777777777778,0.01917989417989418,0.04729062921464882,0.010648148148148148,0.024644798444134565,0.10185185185185185,0.028000073486184593,67,0.1550925925925926,59868,11.728824904989715,25.690446930000476,136.85012676249417,11.66422762166261,13.646791063600446,11.677500996422168,11.658955182701925,222.91687346187152
10,10000,0.036498223998224,0.008516483516483517,0.0216316484131889,0.07967032967032966,0.02851691958834816,0.038834951456310676,0.0077669902912621365,0.01651112570415325,0.06796116504854369,0.012702265372168287,0.03701360500075704,0.00835117773019272,0.02050228259085342,0.07708779443254818,0.025028890928248528,80,0.17130620985010706,59868,11.721280994300871,22.63327358979642,133.16598503064057,11.662920245745882,13.549351915281491,11.675374383490842,11.658192293082827,216.0663784523389
11,11000,0.048399580217762035,0.010743801652892562,0.03288602929578799,0.09917355371900827,0.04361581179762998,0.02160493827160494,0.004629629629629629,0.010901194395860469,0.046296296296296294,0.010978835978835977,0.04225558588615913,0.009341825902335458,0.02784492065631416,0.0870488322717622,0.0361321740302632,89,0.18895966029723993,59868,11.778166560073075,30.02324488778855,136.6118702186606,11.659528166689439,13.65361150266987,11.674334734271262,11.659342125276694,227.06009819542948
12,12000,0.059431605050161755,0.01211340206185567,0.035653726940237725,0.1056701030927835,0.039646743577155946,0.043010752688172046,0.006451612903225807,0.019514091224214283,0.06451612903225806,0.01544205495818399,0.05625667933360241,0.01101871101871102,0.03253317367289848,0.09771309771309772,0.03496683496683497,66,0.13721413721413722,59868,11.738901435634757,24.965725628225965,139.60800920028316,11.660030154201761,13.617108062632683,11.67045924975376,11.662091431469557,224.92232516220164
13,13000,0.05334090987685759,0.01111111111111111,0.029380410069126228,0.08994708994708994,0.030753968253968252,0.03896103896103896,0.006493506493506494,0.017123817169405087,0.06493506493506493,0.013760049474335186,0.05090739326033444,0.010329670329670332,0.027306217424558035,0.08571428571428572,0.027878074306645736,59,0.12967032967032968,59868,11.738637041782892,23.76059367237976,136.21071677463954,11.666761094985233,13.497716893071283,11.667112160084534,11.672459532189109,220.21399716913237
14,14000,0.057639695444573494,0.012466124661246612,0.0365303215475876,0.10840108401084012,0.042167806598700903,0.08754208754208753,0.014141414141414142,0.05163046902594903,0.12121212121212122,0.04928250761584095,0.06396520146520147,0.01282051282051282,0.03972458351416405,0.1111111111111111,0.043672839506172845,71,0.1517094017094017,59868,11.762616439721981,27.005129334224836,128.96565215483142,11.663466418709076,13.717817284668223,11.672104312518156,11.666668917374203,216.4534548620479
15,15000,0.04527426699008468,0.011796246648793567,0.030797698586897272,0.1126005361930295,0.04126771351972424,0.047839506172839504,0.007407407407407408,0.02290778892285766,0.07407407407407407,0.017901234567901235,0.04585024585024585,0.010810810810810811,0.02902615961867216,0.10395010395010396,0.03602118602118602,76,0.158004158004158,59868,11.716452065734396,22.327524833630918,131.67355789242637,11.674469314234322,13.751183391546087,11.674728302322675,11.665125188311652,214.48304098820643
16,16000,0.05719895287958115,0.011780104712041885,0.031428612820829246,0.1099476439790576,0.03473780437131222,0.08152173913043478,0.009782608695652175,0.052620888760873646,0.09782608695652174,0.04782608695652174,0.06191983122362869,0.01139240506329114,0.03554188156868597,0.10759493670886076,0.037278146138905635,60,0.12658227848101267,59868,11.768173886742787,24.90114832744703,137.88078081055636,11.668082351895103,13.606552300927422,11.689341454954212,11.709255071700245,223.2233342042232
