batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,id_resolution_emissions_mg,expand_embeddings_emissions_mg,scoring_emissions_mg,update_prep_emissions_mg,history_update_emissions_mg,batch_emissions_mg,update_emissions_mg,updated
1,1000,incremental,0.04407633954271861,0.020192307692307697,0.03738570336452503,0.17307692307692307,0.07359816035792593,0.016105769230769233,0.04746499731976894,0.25961538461538464,0.07104747175653195,11.693477837514035,121.6523447094039,16.692342917809444,11.656721263437673,11.65553946614272,173.35042619430777,0.0,False
2,2000,incremental,0.04697285414390678,0.014666666666666668,0.03202524543391476,0.13666666666666666,0.07985380652485916,0.012166666666666666,0.04301113158943653,0.20666666666666667,0.05010161699325786,11.699845389178039,121.69893515140602,18.122755966857554,11.67018353309679,11.657652646464854,174.84937268700327,0.0,False
3,3000,incremental,0.04885136811080563,0.018907563025210083,0.03562845591089378,0.1638655462184874,0.08573921336054827,0.016176470588235296,0.04686530751421404,0.24789915966386555,0.06580554414640061,11.71350310785193,121.41378158059898,16.847871796096424,11.653043839756618,11.780364374618557,173.4085646989225,0.0,False
4,4000,incremental,0.030650635023806945,0.010773480662983427,0.021611897093760733,0.09668508287292818,0.06707847973894449,0.00994475138121547,0.03298683985166034,0.17403314917127072,0.03905908930037439,11.718313435401194,119.27769019519981,17.247938003622007,11.655746581295439,11.661675605165287,171.56136382068374,0.0,False
5,5000,incremental,0.04705551712210308,0.01234866828087167,0.0366876492712014,0.10653753026634383,0.07030399987421779,0.009927360774818404,0.04459369262893862,0.15738498789346247,0.0574608084855538,11.764985916489119,122.51475992972136,19.945404809088107,11.654394794109779,11.665644113183042,177.54518956259142,0.0,False
6,6000,incremental,0.028298683059354422,0.008923884514435697,0.021319147092791462,0.07874015748031496,0.06789321290978978,0.008923884514435697,0.03283870648512563,0.14960629921259844,0.037851162357817485,11.710708760148506,125.44694934859949,17.335812818383395,11.657573627277609,11.6645697509285,177.8156143053375,0.0,False
7,7000,incremental,0.046761585706309325,0.010552763819095479,0.02571676074282712,0.10552763819095477,0.0653713009491904,0.007663316582914572,0.03177759140663925,0.1407035175879397,0.031835321735480426,11.713370926914402,122.27007141653789,17.598628705753654,11.6569096924033,11.662827157393101,174.90180789900234,0.0,False
8,8000,incremental,0.05334237550862236,0.011083123425692697,0.032270253430696276,0.10075566750629723,0.08185712447362321,0.009571788413098237,0.04159204727381083,0.16624685138539042,0.043451090898860935,11.714340050572245,123.67406558364165,17.248315004954286,11.654772933221597,11.666634605832098,175.95812817822187,0.0,False
9,9000,incremental,0.0442042094615624,0.009722222222222222,0.0229560321488306,0.09259259259259259,0.0785792094615624,0.008564814814814815,0.033082142768352356,0.15046296296296297,0.030735657016240522,11.731575984415178,120.31185966202831,17.54830747416553,11.672393914056002,11.67306539490891,172.93720242957397,0.0,False
10,10000,incremental,0.03130339800575346,0.007066381156316916,0.017770100261565516,0.06638115631691649,0.06455600668662767,0.0072805139186295515,0.02767571694443498,0.13704496788008566,0.027198241726702158,11.7120440102723,121.46753287239736,17.63400134299287,11.657879387207137,11.66203329924136,174.13349091211103,0.0,False
